model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.0,500.0,1.2355411034953222e-07,5.148087931230509e-06,0.0
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.08333333333333333,874.9999948519121,1.1817938753481756e-07,8.581416460099657e-06,5.148087931230509e-06
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.16666666666666666,1476.5624834461175,1.1893917537664895e-07,1.4513641321436105e-05,1.3729504391330166e-05
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.25,2343.6584104293606,4.575837859849968,882.5818935051099,2.824314571276627e-05
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.3333333333333333,2487.5678879079096,5.024745829037121,1024.3999599267936,882.5819217482556
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.41666666666666663,2487.592430905069,5.024884371847886,1020.1786994542126,1906.9818816750492
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.5,2487.57807881143,5.024823142498881,1015.9185575382954,2927.160581129262
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.5833333333333333,2487.582369858379,5.02498555185429,1011.728814655263,3943.0791386675573
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.6666666666666666,2487.551214636506,5.024583010837142,1007.4287201446848,4954.80795332282
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.75,2487.6164216228444,5.0251572184910245,1003.3807845516569,5962.236673467505
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.8333333333333333,2487.5355612910366,5.024582680810357,999.0620115780349,6965.617458019162
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,0.9166666666666666,2487.6073259887476,5.024952149502809,995.0097762822036,7964.679469597197
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,1.0,2487.5727479400484,5.024877069493393,990.8439493636286,8959.689245879401
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,1.0833333333333333,2487.56807018937,5.024669688778484,986.681443750588,9950.53319524303
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,1.1666666666666665,2487.608321288424,5.025099826080562,982.6788382511395,10937.214638993617
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,1.25,2487.5427171162905,5.024694724491434,978.4881658244026,11919.893477244757
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,1.3333333333333333,2487.5882891633737,5.024854798386456,974.4685083873042,12898.38164306916
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,1.4166666666666665,2487.581784801347,5.024889628681967,970.4208592785536,13872.850151456465
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,1.5,2487.5707568776884,5.024802384395783,966.3647882330172,14843.27101073502
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,1.5833333333333333,2487.582386654237,5.024947748076239,962.3789844261985,15809.635798968036
differential,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,10,1.6666666666666665,2487.5590611363423,5.024722835621544,958.3255321199459,16772.014783394236
