model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.0,500.0,9.57431760095443e-08,3.989299000397679e-06,0.0
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.08333333333333333,687.499996010701,9.207802051209978e-08,5.25336852680708e-06,3.989299000397679e-06
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.16666666666666666,934.5703020302971,8.75315543608468e-08,6.760460041067149e-06,9.24266752720476e-06
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.25,1251.1894502728048,8.345302316901567e-08,8.593205957159543e-06,1.6003127568271907e-05
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.3333333333333333,1642.0621258123479,8.703346091417335e-08,1.1712681951213165e-05,2.4596333525431448e-05
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.41666666666666663,2101.557330905683,0.7655236280400124,131.30183458630634,3.630901547664461e-05
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.5,2475.094968152016,2.525120734955562,507.96689232055485,131.30187089532183
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.5833333333333333,2475.050477679001,2.524776935980402,505.7768024019338,639.2687632158767
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.6666666666666666,2475.086074337729,2.525261293302655,503.77765431453054,1145.0455656178106
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.75,2475.0144272702796,2.524812274964551,501.57922340288803,1648.823219932341
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.8333333333333333,2475.050170142697,2.5247369516699147,499.48596962306453,2150.4024433352292
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,0.9166666666666666,2475.0940771588566,2.5251705494527577,497.5033582944,2649.888412958294
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,1.0,2475.0394958456013,2.524910701168295,495.372834087656,3147.391771252694
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,1.0833333333333333,2475.0497678754027,2.5248771681791147,493.30857047976895,3642.76460534035
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,1.1666666666666665,2475.0648376171785,2.5250505447431224,491.2941189913274,4136.073175820119
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.8,1.25,2475.0410393819398,2.5249584456425525,489.2287698435056,4627.367294811446
