model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.0,500.0,6.470316331609396e-07,2.6959651381705817e-05,0.0
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.08333333333333333,687.4999730403486,6.435879742001238e-07,3.6718911593956215e-05,2.6959651381705817e-05
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.16666666666666666,934.5702405240609,6.393192599813772e-07,4.937753085389175e-05,6.367856297566203e-05
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.25,1251.18932974559,6.350046019071746e-07,6.538678402619549e-05,0.00011305609382955377
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.3333333333333333,1642.0619226912356,6.382302764763562e-07,8.589095776252759e-05,0.00017844287785574926
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.41666666666666663,2101.5570233154112,0.7653470830467418,131.27153455520408,0.00026433383561827684
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.5,2475.1255780387346,2.525144007681101,507.9778561513486,131.2717988890397
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.5833333333333333,2475.069973162848,2.525290688603521,505.8837047863617,639.2496550403882
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.6666666666666666,2474.995584570481,2.5246086307527436,503.6290377534133,1145.13335982675
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.75,2475.0772150144358,2.524907651259427,501.6108957205018,1648.7623975801632
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.8333333333333333,2475.0803364428307,2.525004995093537,499.54508694559473,2150.373293300665
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,0.9166666666666666,2475.0627362421856,2.525251626532275,497.5130320700387,2649.91838024626
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.0,2474.9978972764584,2.5245220144202465,495.2882514365381,3147.4314123162985
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.0833333333333333,2475.0969154048885,2.5249471061475273,493.3316322628948,3642.719663752837
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.1666666666666665,2475.087835604172,2.525129109926508,491.31397044893095,4136.051296015732
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.25,2475.0430890005073,2.525212770407046,489.2784522652972,4627.365266464663
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.3333333333333333,2474.990317078972,2.5247209826613006,487.1387552867721,5116.643718729961
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.4166666666666665,2475.049861274586,2.5250535501116462,485.18880707243517,5603.7824740167325
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.5,2475.02853224649,2.524675803161644,483.0949475081236,6088.971281089168
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.5833333333333333,2475.08951377156,2.5254181303045833,481.2395496015518,6572.066228597291
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.6666666666666665,2474.984808394094,2.5247211369787808,479.0860228344917,7053.305778198843
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.75,2475.0454567886754,2.524664019945056,477.0948813977518,7532.391801033335
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.8333333333333333,2475.1053783128646,2.5254131505375264,475.2636050277063,8009.486682431087
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,1.9166666666666665,2474.9984271839967,2.524627985959554,473.1198674675072,8484.750287458794
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.0,2475.075479424174,2.524818635534072,471.2028845942901,8957.8701549263
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.083333333333333,2475.0973188800476,2.525436555118946,469.36260721593186,9429.07303952059
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.1666666666666665,2474.987203038087,2.5247118258870485,467.2560756423653,9898.435646736521
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.25,2475.0492780013183,2.5248981750608683,465.35924189346224,10365.691722378886
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.333333333333333,2475.0601160230262,2.524985609050765,463.44235617770346,10831.050964272348
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.4166666666666665,2475.050684997489,2.5249985572391846,461.51597180028585,11294.493320450052
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.5,2475.040528578188,2.524937933174374,459.58406860676894,11756.009292250337
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.583333333333333,2475.044970914465,2.5252171338848184,457.7245486827619,12215.593360857107
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.6666666666666665,2474.990910817355,2.524341894197436,455.65339065463286,12673.317909539868
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.75,2475.1285192776995,2.5254152071015983,453.97695575872035,13128.971300194502
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.833333333333333,2475.0163698886927,2.5244478568473583,451.8956728366262,13582.948255953223
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,2.9166666666666665,2475.1268738552612,2.525777437787149,450.2738099241056,14034.843928789849
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.0,2474.9403500178887,2.525086612978376,448.24514805391624,14485.117738713954
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.083333333333333,2474.9347890339377,2.5242335759821772,446.22954420333036,14933.36288676787
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.1666666666666665,2475.1063092300537,2.52495804432671,444.5324655588039,15379.5924309712
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.25,2475.0930357388565,2.525200021865684,442.724150447523,15824.124896530006
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.333333333333333,2475.0325903358507,2.5247615293728765,440.79598119609636,16266.849046977528
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.4166666666666665,2475.075053705068,2.524999726418355,439.0120978889863,16707.645028173625
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.5,2475.0596298369014,2.5249974035174247,437.1835597976567,17146.65712606261
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.583333333333333,2475.047866424164,2.5254882208090845,435.44830958825014,17583.84068586027
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.6666666666666665,2474.937296293925,2.523878733010231,433.34200004960144,18019.288995448518
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.75,2475.1814840633306,2.525368326771403,431.83746261441917,18452.63099549812
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.833333333333333,2475.0680772635083,2.525174552778344,429.9891837433768,18884.468458112537
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,3.9166666666666665,2475.0180334409106,2.5249329166180776,428.1516575088024,19314.45764185591
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.0,2475.0281500649558,2.52438488822856,426.2806036080234,19742.609299364714
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.083333333333333,2475.1492122938357,2.5256868657038916,424.7478489570327,20168.889902972736
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.166666666666666,2474.9767608107113,2.5246219821291738,422.77395198519696,20593.637751929768
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.25,2475.059519302286,2.5251823920545786,421.12359597052233,21016.411703914964
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.333333333333333,2475.0096238850665,2.5249354961976693,419.3231079003595,21437.535299885487
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.416666666666666,2475.0209429120155,2.5245804248150057,417.52275013933814,21856.858407785847
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.5,2475.1031615140273,2.5250481889296337,415.87754462095455,22274.381157925185
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.583333333333333,2475.0719441838937,2.525181473603404,414.1649636412162,22690.25870254614
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.666666666666666,2475.0196752459356,2.5250217313019054,412.40806598277607,23104.423666187355
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.75,2475.0111350775533,2.5248114142416584,410.6576490634753,23516.831732170132
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.833333333333333,2475.0477344451265,2.5248596338513174,408.9639930581882,23927.48938123361
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,4.916666666666666,2475.066840102462,2.524881633416612,407.2702139116394,24336.453374291796
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.0,2475.0774677261556,2.5253713962710265,405.65719853338624,24743.723588203437
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.083333333333333,2474.984886629031,2.5244941421119234,403.81504148174423,25149.380786736823
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.166666666666666,2475.092336295073,2.5250806773893135,402.2468731480135,25553.195828218566
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.25,2475.0566508913817,2.52493264658477,400.5450729818773,25955.44270136658
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.333333333333333,2475.058858337451,2.5247663239251725,398.8536879912756,26355.987774348458
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.416666666666666,2475.094915353242,2.525302533011216,397.28539892408264,26754.841462339733
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.5,2475.01293848441,2.5247045170722284,395.5266965979929,27152.126861263816
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.583333333333333,2475.0712135804947,2.524925995929864,393.925925411707,27547.65355786181
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.666666666666666,2475.0717891355434,2.525254216145949,392.3390676804736,27941.579483273516
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.75,2475.0045485959326,2.52511158968884,390.675041574561,28333.91855095399
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.833333333333333,2474.9805950306763,2.5241110112712475,388.89268989768567,28724.593592528552
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,5.916666666666666,2475.1679497619584,2.52568383339672,387.54632856625176,29113.486282426238
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.0,2474.992257564083,2.525105937368293,385.81921861259434,29501.03261099249
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.083333333333333,2474.972004922636,2.524889521741592,384.17890992437776,29886.851829605082
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.166666666666666,2475.0005647250914,2.524486972794536,382.5249129517374,30271.03073952946
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.25,2475.106260135785,2.52503874556863,381.03390667728866,30653.555652481195
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.333333333333333,2475.076351425222,2.52520719570626,379.4702966969549,31034.589559158485
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.416666666666666,2475.0178680252516,2.5255049588000014,377.928089338313,31414.05985585544
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.5,2474.9100342140528,2.524017255044321,376.1185761540738,31791.987945193756
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.583333333333333,2475.131272762241,2.5249333467510087,374.724114929595,32168.10652134783
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.666666666666666,2475.117944280735,2.525672951284423,373.27331062340716,32542.830636277424
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.75,2474.954814296954,2.5246383116225646,371.5444762593231,32916.10394690083
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.833333333333333,2475.038730543979,2.5247972011284787,370.03542720131446,33287.64842316016
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,6.916666666666666,2475.0725701660726,2.5252495724321697,368.5678837718889,33657.68385036147
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.0,2475.0061263070234,2.5249249904650055,366.97835056439703,34026.25173413336
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.083333333333333,2475.020333507959,2.524501304995734,365.3932293389589,34393.23008469775
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.166666666666666,2475.118996377136,2.5252409621251957,363.99504641303054,34758.62331403671
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.25,2475.0447513665504,2.5250845074732635,362.4482251367772,35122.61836044974
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.333333333333333,2475.0180912487963,2.5251375051196954,360.9448537016182,35485.06658558652
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.416666666666666,2474.9859992632173,2.524559433555736,359.3570996874123,35846.011439288144
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.5,2475.079753213952,2.525066952823253,357.94839449748304,36205.368538975556
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.583333333333333,2475.0494941187553,2.524957967909698,356.44030277586523,36563.31693347304
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.666666666666666,2475.04795504461,2.525109607163663,354.97932133995465,36919.75723624891
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.75,2475.0154572094953,2.5244479030606874,353.406042206763,37274.73655758886
differential,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,8.0,7.833333333333333,2475.126139845016,2.525330525215756,352.075372141826,37628.142599795625
