model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.0,500.0,1.0,41.666666666666664,0.0
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.08333333333333333,792.0389974538423,1.0,65.72880839698568,41.666666666666664
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.16666666666666666,1183.5985973270338,1.0,97.81468824456499,107.39547506365236
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.25,1667.7779081545755,1.0,137.25503652063185,205.21016330821735
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.3333333333333333,2201.724151764494,1.0,180.44440437083284,342.4651998288492
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.41666666666666663,2706.5990975996856,0.999999800975141,220.8995333851883,522.909604199682
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.5,3100.4658175421127,0.999998479174398,251.99253707553612,743.8091375848703
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.5833333333333333,3346.1562552850855,0.9999970465463737,270.8299978075893,995.8016746604064
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.6666666666666666,3463.152674790982,0.999995644028201,279.1335362206551,1266.6316724679957
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.75,3495.414987290903,0.9999941976030787,280.56205567283723,1545.7652086886508
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.8333333333333333,3480.2853599004957,0.9999958442770225,278.1865960077531,1826.327264361488
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,0.9166666666666666,3440.4398746076577,0.9999962981574013,273.85832969004406,2104.5138603692412
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.0,3387.716417058464,0.9999997068093059,268.54121608036996,2378.3721900592855
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.0833333333333333,3327.915735165113,0.9999999432656733,262.7040487051869,2646.9134061396553
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.1666666666666665,3263.8124673005887,1.0,256.5725001786427,2909.617454844842
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.25,3196.7045585179526,1.0,250.25216835226246,3166.189955023485
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.3333333333333333,3127.1648935887793,1.0,243.79038344149654,3416.442123375747
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.4166666666666665,3055.3971310276747,1.0,237.2050302830704,3660.2325068172436
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.5,2981.403818459944,1.0,230.4981643909407,3897.437537100314
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.5833333333333333,3078.6811662575856,1.0,237.02918453192072,4127.935701491255
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.6666666666666665,3162.464838307112,1.0,242.46734257884037,4364.9648860231755
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.75,3211.010443474306,0.9999967082547777,245.16489009192222,4607.432228602016
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.8333333333333333,3234.601297147815,0.9999951927867353,245.93882570925987,4852.597118693939
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,1.9166666666666665,3249.15225299566,0.9999961278674429,246.0182058721391,5098.535944403198
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.0,3249.369404486757,0.9999970916032892,245.01187258960653,5344.554150275338
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.083333333333333,3240.164469253579,0.9999978727741714,243.30211091428436,5589.566022864944
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.1666666666666665,3224.7871364909774,0.9999984238977261,241.14072003273054,5832.868133779229
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.25,3215.174846479889,0.9999986389994656,239.4223169210267,6074.008853811959
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.333333333333333,3199.773733762392,0.999998779251084,237.28473674801447,6313.431170732985
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.4166666666666665,3180.3076307325246,1.0,234.86085377896933,6550.715907481
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.5,3157.9474162912584,1.0,232.23990111683844,6785.576761259969
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.583333333333333,3154.870381869423,1.0,231.04889950206513,7017.8166623768075
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.6666666666666665,3165.789440381251,1.0,230.8845376607979,7248.8655618788725
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.75,3180.8296950977533,1.0,231.01686173072318,7479.75009953967
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.833333333333333,3192.797800405767,1.0,230.92189774613922,7710.766961270394
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,2.9166666666666665,3200.6726563896073,0.9999986962184169,230.52861200709225,7941.688859016534
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.0,3204.5158840242425,0.9999984765257552,229.84568166552867,8172.217471023626
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.083333333333333,3204.8553900391184,0.9999983375022052,228.91420192574108,8402.063152689154
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.1666666666666665,3203.804074425635,0.9999982104040329,227.88756772040398,8630.977354614895
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.25,3200.9806732556517,0.9999982185384685,226.74001913464463,8858.864922335299
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.333333333333333,3198.649457710756,0.9999981368029104,225.63277212451138,9085.604941469943
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.4166666666666665,3195.054760037472,1.0,224.4424939804773,9311.237713594453
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.5,3189.6365504421046,1.0,223.13023299755838,9535.680207574931
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.583333333333333,3185.616271331697,1.0,221.92238965893176,9758.81044057249
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.6666666666666665,3184.377291454584,1.0,220.91368351245853,9980.732830231422
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.75,3185.5335625562616,1.0,220.07500669167388,10201.64651374388
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.833333333333333,3188.609993619224,1.0,219.3715890666628,10421.721520435554
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,3.9166666666666665,3191.550462031152,1.0,218.66090106192428,10641.093109502217
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.0,3193.5164584616637,1.0,217.88584458360393,10859.754010564142
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.083333333333333,3194.664268996751,1.0,217.05786233670133,11077.639855147745
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.166666666666666,3195.02960300453,1.0,216.18005514221767,11294.697717484447
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.25,3194.9618889014755,1.0,215.2766162937635,11510.877772626665
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.333333333333333,3194.515583333332,1.0,214.35154947913398,11726.15438892043
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.416666666666666,3194.166898938009,1.0,213.43697674100306,11940.505938399563
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.5,3193.2025626923705,1.0,212.48533634115535,12153.942915140566
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.583333333333333,3192.0193751292963,1.0,211.5234172042633,12366.42825148172
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.666666666666666,3191.065533605668,1.0,210.58095846327026,12577.951668685984
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.75,3190.5832053697313,1.0,209.673666347584,12788.532627149254
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.833333333333333,3190.672373101419,1.0,208.80767904781354,12998.206293496838
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,4.916666666666666,3191.11975102584,1.0,207.96861319105267,13207.013972544652
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.0,3191.672704247598,1.0,207.1397667813048,13414.982585735705
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.083333333333333,3192.188415252885,1.0,206.3118105242612,13622.12235251701
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.166666666666666,3192.577276778633,1.0,205.47899409953965,13828.434163041271
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.25,3192.827609204594,1.0,204.6406575935937,14033.91315714081
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.333333333333333,3192.937280736002,1.0,203.79676216138878,14238.553814734405
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.416666666666666,3192.9697274169603,1.0,202.95143797522908,14442.350576895793
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.5,3192.8651634893376,1.0,202.100947616886,14645.302014871022
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.583333333333333,3192.638496011711,1.0,201.2463243818044,14847.402962487908
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.666666666666666,3192.3607869621064,1.0,200.39211007612306,15048.649286869711
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.75,3192.1118291845037,1.0,199.54331735779186,15249.041396945835
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.833333333333333,3191.958333298737,1.0,198.70406126965645,15448.584714303626
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,5.916666666666666,3191.9155198431504,1.0,197.87519603137721,15647.288775573283
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.0,3191.959585711076,1.0,197.05515173120273,15845.16397160466
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.083333333333333,3192.0561618471484,1.0,196.24173409687654,16042.219123335863
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.166666666666666,3192.170867477759,1.0,195.43278389775924,16238.46085743274
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.25,3192.279730934234,1.0,194.62681192675552,16433.8936413305
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.333333333333333,3192.366593492189,1.0,193.8228278155525,16628.520453257253
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.416666666666666,3192.429400164693,1.0,193.02071027301605,16822.343281072805
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.5,3192.458022645116,1.0,192.21985389293152,17015.36399134582
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.583333333333333,3192.4474316655883,1.0,191.41996905725512,17207.583845238754
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.666666666666666,3192.403770646747,1.0,190.62143813851836,17399.00381429601
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.75,3192.3418160019737,1.0,189.82515056219586,17589.62525243453
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.833333333333333,3192.2803687372466,1.0,189.0322193108849,17779.450402996725
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,6.916666666666666,3192.233905345721,1.0,188.24348378268715,17968.48262230761
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.0,3192.208801699302,1.0,187.45929353772868,18156.726106090297
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.083333333333333,3192.204733156693,1.0,186.6796002133888,18344.185399628026
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.166666666666666,3192.2169708848232,1.0,185.90409946473108,18530.864999841415
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.25,3192.239283989836,1.0,185.1324046001222,18716.769099306144
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.333333333333333,3192.2654566193414,1.0,184.36413596133298,18901.901503906265
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.416666666666666,3192.2911685533636,1.0,183.59902900097828,19086.265639867597
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.5,3192.3121453405283,1.0,182.83682600389608,19269.864668868577
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.583333333333333,3192.324802167046,1.0,182.07731271298874,19452.70149487247
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.666666666666666,3192.3275292970093,1.0,181.32039048040522,19634.778807585462
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.75,3192.3212045930436,1.0,180.56610288941434,19816.09919806587
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.833333333333333,3192.3089159692336,1.0,179.81461717993537,19996.665300955283
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,7.916666666666666,3192.294637605697,1.0,179.06614741381452,20176.479918135217
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.0,3192.281844853679,1.0,178.3208761000878,20355.54606554903
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.083333333333332,3192.2727956763315,1.0,177.57891484101827,20533.866941649118
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.166666666666666,3192.2683638184512,1.0,176.8402965316216,20711.445856490136
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.25,3192.268316150026,1.0,176.1049922752518,20888.286153021756
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.333333333333332,3192.271690979099,1.0,175.3729334443414,21064.391145297006
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.416666666666666,3192.2772994813877,1.0,174.6440399422454,21239.764078741347
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.5,3192.283791835684,1.0,173.9182240551591,21414.408118683594
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.583333333333332,3192.2897898060096,1.0,173.19539781602322,21588.326342738754
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.666666666666666,3192.2941545594176,1.0,172.47548749339978,21761.521740554777
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.75,3192.2962379606497,1.0,171.75844683004973,21933.997228048178
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.833333333333332,3192.2960153477875,1.0,171.04426359737369,22105.755674878226
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,8.916666666666666,3192.293995458724,1.0,170.3329540886201,22276.7999384756
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.0,3192.2909744296585,1.0,169.62454945537107,22447.13289256422
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.083333333333332,3192.2877776630016,1.0,168.9190817356311,22616.75744201959
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.166666666666666,3192.285067448591,1.0,168.21657369145407,22785.67652375522
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.25,3192.283253238296,1.0,167.51703428661796,22953.893097446675
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.333333333333332,3192.282482096614,1.0,166.82045846926388,23121.410131733293
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.416666666666666,3192.282698908987,1.0,166.1268305936965,23288.23059020256
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.5,3192.283692173294,1.0,165.43612701329596,23454.357420796256
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.583333333333332,3192.285140498459,1.0,164.74831864798105,23619.793547809553
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.666666666666666,3192.2866792924906,1.0,164.0633745273165,23784.541866457534
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.75,3192.287979304147,1.0,163.3812658533301,23948.60524098485
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.833333333333332,3192.288817363672,1.0,162.70196956490182,24111.98650683818
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,9.916666666666666,3192.2891116775018,1.0,162.0254700136295,24274.688476403084
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.0,3192.28891246856,1.0,161.35175833940673,24436.713946416712
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.083333333333332,3192.288361487626,1.0,160.68083029283645,24598.065704756118
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.166666666666666,3192.2876397494833,1.0,160.01268351999428,24758.746535048955
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.25,3192.2869211929706,1.0,159.34731520943984,24918.75921856895
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.333333333333332,3192.2863408023604,1.0,158.68472051629206,25078.10653377839
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.416666666666666,3192.2859815429856,1.0,158.02489195707892,25236.791254294683
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.5,3192.2858714309546,1.0,157.36781931978118,25394.816146251764
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.583333333333332,3192.2859873342613,1.0,156.71348990725522,25552.183965571545
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.666666666666666,3192.2862661058352,1.0,156.06188913373197,25708.8974554788
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.75,3192.2866223642586,1.0,155.41300143071902,25864.959344612533
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.833333333333332,3192.2869697955225,1.0,154.76681130150763,26020.372346043252
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,10.916666666666666,3192.2872400869155,1.0,154.12330423531876,26175.139157344758
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.0,3192.287394303547,1.0,153.48246723528743,26329.262461580078
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.083333333333332,3192.287425095921,1.0,152.84428889403057,26482.744928815366
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.166666666666666,3192.287351267953,1.0,152.20875910269461,26635.589217709396
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.25,3192.2872080831694,1.0,151.57586856450166,26787.79797681209
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.333333333333332,3192.2870366611446,1.0,150.9456082770846,26939.37384537659
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.416666666666666,3192.286875262053,1.0,150.3179691164413,27090.319453653676
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.5,3192.2867531050997,1.0,149.69294155001563,27240.637422770116
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.583333333333332,3192.2866867071184,1.0,149.07051547465775,27390.330364320133
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.666666666666666,3192.286678856227,1.0,148.45068018127617,27539.40087979479
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.75,3192.28672023781,1.0,147.83342444335352,27687.851559976065
volterra,30,360,500.0,10,5000.0,1.4,0.05,2,10,1.0,11.833333333333332,3192.2867933212,1.0,147.2187367076748,27835.68498441942
