model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.0,500.0,2.480765587881017e-07,1.033652328283757e-05,0.0
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.08333333333333333,672.5083174064748,2.279793188966118e-07,1.2723374353564676e-05,1.033652328283757e-05
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.16666666666666666,881.847090036882,1.9442502745474516e-07,1.4169192101447525e-05,2.3059897636402244e-05
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.25,1129.750929837678,1.492274155294776e-07,1.3874629598262412e-05,3.7229089737849766e-05
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.3333333333333333,1414.633665745528,9.67015904527691e-08,1.1211355372992333e-05,5.1103719336112176e-05
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.41666666666666663,1730.374146499109,4.424316819666658e-08,6.248232602495325e-06,6.23150747091045e-05
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.5,2065.7749537823356,4.076249180894407e-09,6.843923146736623e-07,6.856330731159983e-05
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.5833333333333333,2405.3159893478755,1.315050228741574,256.01553023465027,6.92476996262735e-05
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.6666666666666666,2467.8851613739293,2.5882297307421336,514.8373420764061,256.0155994823499
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.75,2236.2889562732753,4.9999999408630735,897.4920890071576,770.852941558756
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.8333333333333333,1575.8986839653448,4.9999997890811425,629.8272247363963,1668.3450305659135
volterra,20,240,500.0,5.0,5000.0,1,0.05,2,10,5,0.9166666666666666,1108.8296041413205,4.999999661120935,441.31468344368164,2298.1722553023096
