model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.0,500.0,9.019024207668087e-08,3.757926753195036e-06,0.0
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.08333333333333333,685.9439886118624,8.093774382552106e-08,4.607325994345884e-06,3.757926753195036e-06
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.16666666666666666,928.9544930560553,6.939418359006674e-08,5.327422537164728e-06,8.36525274754092e-06
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.25,1237.930705697712,5.628255843665114e-08,5.734033675608679e-06,1.3692675284705648e-05
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.3333333333333333,1616.6845382424117,5.158008851262341e-08,6.834203089905353e-06,1.9426708960314327e-05
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.41666666666666663,2059.447652011583,0.4622375244789961,77.69389748560977,2.626091205021968e-05
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.5,2467.6482011836424,2.4282524303628015,487.01066155639916,77.69392374652182
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.5833333333333333,2467.746130728472,2.4077168521438077,480.9032628393056,564.704585302921
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.6666666666666666,2467.9031319317937,2.386941248881914,474.801530224365,1045.6078481422267
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.75,2468.1918552157476,2.367037887255018,468.93952059978255,1520.4093783665917
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.8333333333333333,2468.4422592765804,2.347352713224425,463.15299307762484,1989.3488989663742
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,0.9166666666666666,2468.651515872564,2.3279322859155687,457.4500942082624,2452.501892043999
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.0,2468.8072762470983,2.307831137839302,451.6429622742893,2909.951986252261
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.0833333333333333,2469.0935328145365,2.288322779917638,446.0148260591483,3361.5949485265505
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.1666666666666665,2469.3976073835665,2.2698032148619736,440.61993186644196,3807.6097745856987
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.25,2469.5463678393035,2.2505998381237196,435.1017368805165,4248.229706452141
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.3333333333333333,2469.7422552713388,2.2314314341318804,429.6362995941116,4683.331443332658
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.4166666666666665,2470.002188589081,2.2130633430751154,424.37267361870886,5112.9677429267695
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.5,2470.1824694481606,2.194327673385906,419.06094040612334,5537.340416545479
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.5833333333333333,2470.4053590464855,2.1752627998318705,413.730045623136,5956.401356951602
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.6666666666666665,2470.7630470423737,2.1580826175720964,408.81489541405546,6370.131402574738
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.75,2470.8757273461015,2.1395652694906007,403.6402156183688,6778.946297988793
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.8333333333333333,2471.0931214721604,2.1216105615320515,398.62378353062877,7182.586513607162
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,1.9166666666666665,2471.3123108343116,2.1036174589044867,393.63459990554117,7581.21029713779
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.0,2471.571885419341,2.086300636653573,388.8118053166514,7974.844897043331
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.083333333333333,2471.75647034573,2.0685358515248846,383.9268428182357,8363.656702359982
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.1666666666666665,2472.0014979300577,2.0512147020331177,379.1665659995236,8747.583545178217
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.25,2472.2356691625037,2.0340923546501988,374.47356076079427,9126.75011117774
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.333333333333333,2472.4498652714865,2.0174603954360473,369.8993569348861,9501.223671938535
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.4166666666666665,2472.576081225002,1.9995623344860631,365.11200690041716,9871.12302887342
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.5,2472.9189190945635,1.9834847294923503,360.72038193095193,10236.235035773838
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.583333333333333,2473.0974309416797,1.967130860778499,356.28444458427066,10596.95541770479
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.6666666666666665,2473.2240495326705,1.9495184637851488,351.64434419430927,10953.239862289061
volterra,20,240,500.0,5.0,5000.0,0.1,0.05,2,10,5,2.75,2473.5950036221357,1.9343198858837611,347.5042771438258,11304.88420648337
