model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.0,500.0,1.423362927203003e-07,5.930678863345847e-06,0.0
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.08333333333333333,833.70565818983,1.0343424765151369e-07,7.156263156612275e-06,5.930678863345847e-06
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.16666666666666666,1312.1204999300464,3.807585435718891e-07,4.128792060803825e-05,1.3086942019958122e-05
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.25,1940.37227526939,1.147472421819395,183.23877938765543,5.437486262799637e-05
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.3333333333333333,2476.7282284516814,3.325667728988097,675.0527687105252,183.23883376251806
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.41666666666666663,2479.1046002195035,2.9560948462901333,598.1142750776312,858.2916024730433
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.5,2481.342166716564,2.627965268486831,529.9899922497067,1456.4058775506746
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.5833333333333333,2483.3955746078186,4.547166307279858,913.9839570854986,1986.3958698003812
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.6666666666666666,2027.7669770777902,4.9999992323738764,817.2035696450213,2900.37982688588
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.75,1581.7843208048894,4.999999577440919,634.8190412826149,3717.583396530901
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.8333333333333333,1185.7276651647921,2.0878066973106451e-07,1.978783998585356e-05,4352.402437813516
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,0.9166666666666666,1288.6467423936538,9.668679437668867e-08,9.917783690628393e-06,4352.402457601356
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,1.0,1806.2397856741281,0.2733614955902128,39.139635414413895,4352.4024675191395
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,1.0833333333333333,2476.828951886374,3.4027919040132852,665.3127953447818,4391.542102933553
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,1.1666666666666665,2479.149170259685,3.0243734298337905,589.4174404605295,5056.854898278335
volterra,20,240,500.0,10.0,5000.0,1.4,0.05,2,10,5,1.25,2481.4098299801835,2.6888201497326625,522.3187318872226,5646.272338738864
