model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.0,500.0,2.2310422530145873e-08,9.29600938756078e-07,0.0
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.08333333333333333,668.2490810255773,2.027099001531062e-08,1.1241454927730125e-06,9.29600938756078e-07
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.16666666666666666,867.4318812902211,1.7432828629146953e-08,1.2496916677445162e-06,2.0537464315290906e-06
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.25,1097.7631072587617,1.3419514051765807e-08,1.2123708720178015e-06,3.3034380992736067e-06
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.3333333333333333,1356.7160222435393,8.450740167527014e-09,9.396458829370165e-07,4.515808971291409e-06
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.41666666666666663,1638.372839403978,3.0718441821037925e-09,4.10755014953127e-07,5.455454854228425e-06
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.5,1933.3380595199455,4.999999996921551,785.6682381626994,5.866209869181552e-06
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.5833333333333333,1423.9645930942613,4.999999985139538,576.2633841144075,785.6682440289093
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.6666666666666666,1033.8506940534717,4.999999975192085,416.64876325901844,1361.9316281433166
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.75,711.2610836601175,4.999999970923633,285.4511255581435,1778.580391402335
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.8333333333333333,500.0,2.0857814650634036e-08,8.336081629676952e-07,2064.0315169604783
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,0.9166666666666666,668.2490810861027,1.9444760122960646e-08,1.034319113790979e-06,2064.0315177940865
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.0,867.4318814133377,1.6728505066092024e-08,1.1502613893421488e-06,2064.0315188284058
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.0833333333333333,1097.7631074611486,1.2860683851822368e-08,1.1144668713565918e-06,2064.0315199786673
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.1666666666666665,1356.7160225348773,8.106796245873163e-09,8.646157069659968e-07,2064.0315210931344
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.25,1638.3728397755185,2.9517815866038336e-09,3.785927629720039e-07,2064.03152195775
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.3333333333333333,1933.3380599430152,4.999999997050333,753.604691015493,2064.0315223363427
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.4166666666666665,1423.96459333981,4.999999985733787,552.7457627215827,2817.636213351836
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.5,1033.850694147357,4.999999976169026,399.64510114998996,3370.3819760734186
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.5833333333333333,711.2610836307798,4.999999972106895,273.8017102088103,3770.0270772234085
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.6666666666666665,500.0,4.9999999804815864,191.67591896620036,4043.8287874322186
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.75,500.0,4.99999998056848,190.87893085211925,4235.504706398419
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.8333333333333333,500.0,4.999999980640058,190.08525661254998,4426.383637250538
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,1.9166666666666665,500.0,4.999999980723748,189.29488246945164,4616.468893863088
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.0,500.0,4.99999998081067,188.50779470069057,4805.763776332539
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.083333333333333,500.0,4.999999980876343,187.72397964060838,4994.2715710332295
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.1666666666666665,500.0,4.9999999809717774,186.9434236832023,5181.995550673838
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.25,500.0,4.999999981030615,186.16611327464943,5368.93897435704
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.333333333333333,500.0,4.999999981113221,185.39203492221327,5555.1050876316895
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.4166666666666665,500.0,4.999999981209885,184.62117518664462,5740.497122553903
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.5,500.0,4.999999981287741,183.85352068372777,5925.118297740548
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.583333333333333,500.0,4.9999999813567975,183.08905808648348,6108.971818424276
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.6666666666666665,500.0,4.999999981427984,182.3277741233752,6292.060876510759
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.75,500.0,4.9999999815143426,181.569655578121,6474.388650634134
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.833333333333333,500.0,4.999999981577495,180.81468928752693,6655.958306212255
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,2.9166666666666665,500.0,4.999999981661641,180.06286214612265,6836.772995499781
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.0,500.0,4.999999981739224,179.3141611003372,7016.835857645904
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.083333333333333,500.0,4.999999981809692,178.56857315185303,7196.150018746242
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.1666666666666665,500.0,4.999999981885261,177.82608535685392,7374.718591898095
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.25,500.0,4.999999981969706,177.08668482503964,7552.5446772549485
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.333333333333333,500.0,4.999999982036738,176.3503587186457,7729.631362079988
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.4166666666666665,500.0,4.999999982107355,175.61709425495968,7905.981720798634
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.5,500.0,4.999999982201994,174.88687870439065,8081.598815053594
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.583333333333333,500.0,4.9999999822671946,174.15969938769436,8256.485693757984
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.6666666666666665,500.0,4.999999982350903,173.43554368188774,8430.645393145678
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.75,500.0,4.999999982407358,172.7143990132162,8604.080936827566
volterra,20,240,500.0,5.0,5000.0,1.3,0.05,2,10,5,3.833333333333333,500.0,4.999999982480955,171.996252863328,8776.795335840781
