model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.0,500.0,5.0,208.33333333333331,0.0
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.08333333333333333,33662.23307871756,5.0,13967.610656536157,208.33333333333331
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.16666666666666666,500.0,5.0,206.60443596643248,14175.94398986949
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.25,33662.23307871756,5.0,13851.697543163444,14382.548425835923
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.3333333333333333,500.0,5.0,204.88988621283698,28234.245968999367
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.41666666666666663,33662.23307871756,5.0,13736.74635879793,28439.135855212204
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.5,500.0,5.0,203.18956500590264,42175.88221401013
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.5833333333333333,33662.23307871756,5.0,13622.749120672279,42379.071779016034
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.6666666666666666,500.0,5.0,201.50335426708455,56001.82089968831
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.75,33662.23307871756,5.0,13509.69791226581,56203.3242539554
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.8333333333333333,500.0,5.0,199.8311368977371,69713.02216622121
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,0.9166666666666666,33662.23307871756,5.0,13397.584882754725,69912.85330311894
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.0,500.0,5.0,198.17279677098207,83310.43818587367
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.0833333333333333,33662.23307871756,5.0,13286.402246466927,83508.61098264466
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.1666666666666665,500.0,5.0,196.5282187236442,96795.01322911159
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.25,33662.23307871755,5.0,13176.142282341312,96991.54144783523
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.3333333333333333,500.0,5.0,194.89728854825367,110167.68373017655
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.4166666666666665,33662.23307871756,5.0,13066.797333391632,110362.5810187248
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.5,500.0,5.0,193.27989298511514,123429.37835211643
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.5833333333333333,33662.23307871756,5.0,12958.3598061747,123622.65824510154
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.6666666666666665,500.0,5.0,191.67591971444233,136581.01805127625
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.75,33662.23307871755,5.0,12850.822170263102,136772.6939709907
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.8333333333333333,500.0,5.0,190.0852573485579,149623.5161412538
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,1.9166666666666665,33662.23307871756,5.0,12744.176957722246,149813.60139860233
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.0,500.0,5.0,188.50779542415822,162557.7783563246
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.083333333333333,33662.233078717574,5.0,12638.416762591734,162746.28615174876
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.1666666666666665,500.0,5.0,186.94342439464248,175384.7029143405
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.25,33662.23307871755,5.0,12533.534240371053,175571.64633873515
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.333333333333333,500.0,5.0,185.39203562250492,188105.1805791062
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.4166666666666665,33662.23307871755,5.0,12429.522107509585,188290.5726147287
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.5,500.0,5.0,183.8535213717907,200720.09472223828
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.583333333333333,33662.233078717574,5.0,12326.373140900749,200903.94824361007
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.6666666666666665,500.0,5.0,182.32777480061407,213230.3213845108
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.75,33662.23307871755,5.0,12224.080177380385,213412.64915931143
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.833333333333333,500.0,5.0,180.81468995373882,225636.72933669182
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,2.9166666666666665,33662.23307871755,5.0,12122.63611322939,225817.54402664557
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.0,500.0,5.0,179.31416175522037,237940.18013987495
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.083333333333333,33662.233078717574,5.0,12022.033903680313,238119.49430163018
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.1666666666666665,500.0,5.0,177.82608600110854,250141.5282053105
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.25,33662.23307871755,5.0,11922.26656242815,250319.3542913116
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.333333333333333,500.0,5.0,176.35035935221129,262241.6208537398
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.4166666666666665,33662.23307871755,5.0,11823.327161145244,262417.971213092
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.5,500.0,5.0,174.88687932691818,274241.2983742372
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.583333333333333,33662.233078717574,5.0,11725.208829000076,274416.1852535641
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.6666666666666665,500.0,5.0,173.43554429408385,286141.39408256416
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.75,33662.23307871755,5.0,11627.904752180133,286314.82962685823
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.833333333333333,500.0,5.0,171.99625346597,297942.7343790384
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,3.9166666666666665,33662.23307871755,5.0,11531.408173418766,298114.73063250433
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,4.0,500.0,5.0,170.56890689124623,309646.1388059231
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,4.083333333333333,33662.233078717574,5.0,11435.712391525894,309816.7077128143
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,4.166666666666666,500.0,5.0,169.15340544804894,321252.42010434024
volterra,20,240,500.0,1000.0,5000.0,1.4,0.05,2,10,5,4.25,33662.23307871753,5.0,11340.810760922624,321421.5735097883
