model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.0,500.0,5.0,208.33333333333331,0.0
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.08333333333333333,500.0,5.0,207.46708371773127,208.33333333333331
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.16666666666666666,500.0,5.0,206.60443596643248,415.8004170510646
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.25,500.0,5.0,205.74537510289196,622.4048530174971
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.3333333333333333,500.0,5.0,204.88988621283698,828.1502281203891
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.41666666666666663,500.0,5.0,204.03795444400834,1033.040114333226
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.5,500.0,5.0,203.18956500590264,1237.0780687772344
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.5833333333333333,500.0,5.0,202.34470316951516,1440.2676337831372
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.6666666666666666,500.0,5.0,201.50335426708455,1642.6123369526524
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.75,500.0,5.0,200.6655036918379,1844.115691219737
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.8333333333333333,500.0,5.0,199.8311368977371,2044.7811949115749
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,0.9166666666666666,500.0,5.0,199.0002393992267,2244.612331809312
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,1.0,500.0,5.0,198.17279677098207,2443.6125712085386
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,1.0833333333333333,500.0,5.0,197.34879464765893,2641.7853679795207
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,1.1666666666666665,500.0,5.0,196.5282187236442,2839.1341626271796
volterra,20,240,500.0,5.0,5000.0,2.0,0.05,2,10,5,1.25,500.0,5.0,195.71105475280743,3035.662381350824
