model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.0,500.0,2.1123541787398421e-07,8.801475744749342e-06,0.0
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.08333333333333333,679.8480144064877,1.9195567982467382e-07,1.0829838846986584e-05,8.801475744749342e-06
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.16666666666666666,907.2736644834308,1.655118398934975e-07,1.2409863498005744e-05,1.9631314591735924e-05
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.25,1187.4596068962253,1.3562097117644262e-07,1.3253658261822773e-05,3.204117808974167e-05
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.3333333333333333,1521.277216344667,1.105832842728519e-07,1.3787272450148668e-05,4.5294836351564444e-05
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.41666666666666663,1902.609003558427,1.9625678101435403e-06,0.00030475102229612845,5.908210880171311e-05
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.5,2316.419322369039,1.435854204222987,270.3266826776258,0.00036383313109784155
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.5833333333333333,2462.004182771726,1.9822013402792085,394.9920761690533,270.3270465107569
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.6666666666666666,2463.402364791561,1.8999085304778793,377.2335563583436,665.3191226798101
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.75,2464.817298040686,1.8212548450306543,360.3198302136816,1042.5526790381537
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.8333333333333333,2466.1972403394248,1.745849994331116,344.158011550997,1402.8725092518353
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,0.9166666666666666,2467.549226875927,1.6735935165260314,328.72247672588855,1747.0305208028321
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.0,2468.871677201984,1.6049813528225414,314.10332834861623,2075.7529975287207
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.0833333333333333,2470.0341391536385,1.5380688732042738,299.89775073878036,2389.856325877337
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.1666666666666665,2471.2964112217915,1.4741434182318667,286.38448448932616,2689.7540766161173
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.25,2472.5959772956894,4.205712754854523,814.08192970507,2976.1385611054434
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.3333333333333333,1898.4601891683099,5.999999597863213,888.0113243686926,3790.220490810513
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.4166666666666665,1200.8814909930156,5.99999953401534,559.3808518473274,4678.231815179206
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.5,735.8429523424685,5.9999994509899315,341.3367217653627,5237.612667026533
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.5833333333333333,500.0,2.5113365089041914e-07,9.667451948497695e-06,5578.949388791896
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.6666666666666665,679.8480127440613,2.2948706271872512e-07,1.1961828921982638e-05,5578.949398459348
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.75,907.2736602109711,2.1309441671153763e-07,1.4761427586756241e-05,5578.949410421177
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.8333333333333333,1187.459597958114,1.8120276917815908e-07,1.6360331487694854e-05,5578.9494251826045
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,1.9166666666666665,1521.277201083866,1.6054129319162078e-07,1.8492429843952016e-05,5578.949441542936
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.0,1902.6089797138234,1.357446416096364e-07,1.947428597169941e-05,5578.949460035366
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.083333333333333,2316.4195861205453,1.420699866486478,247.11511685407487,5578.9494795096525
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.1666666666666665,2464.9297400797814,1.9801811585123152,364.98889726152,5826.064596363727
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.25,2466.276721906652,1.8985276427574902,348.67383095725324,6191.053493625247
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.333333333333333,2467.5358340171997,1.8193450154061348,332.9121135310453,6539.7273245825
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.4166666666666665,2468.9092665661956,1.7444911693585168,318.0646538564299,6872.639438113545
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.5,2470.1584487840037,1.6726224756533978,303.8468120011925,7190.704091969975
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.583333333333333,2471.327506682489,1.6027622086662243,290.0826673163324,7494.550903971167
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.6666666666666665,2472.6274585632973,4.36364857492366,786.9031401402615,7784.633571287499
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.75,1891.3488917172374,5.999999529921887,824.1876989082089,8571.53671142776
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.833333333333333,1221.0120572006444,5.999999567304581,529.864561514363,9395.724410335968
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,2.9166666666666665,773.4640852487602,5.999999249367952,334.25313610617155,9925.588971850331
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.0,500.0,3.400762291331331e-07,1.2196096791976803e-05,10259.842107956503
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.083333333333333,679.8480090381206,2.984762019275105e-07,1.4493943401922119e-05,10259.8421201526
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.1666666666666665,907.2736515181709,2.7465608688981784e-07,1.7724867108849744e-05,10259.842134646544
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.25,1187.4595824415119,2.3227721685138783e-07,1.9537606157994542e-05,10259.842152371411
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.333333333333333,1521.2771773898992,1.9202193756966124e-07,2.060608741142741e-05,10259.842171909018
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.4166666666666665,1902.6089485817229,2.590342766903069e-06,0.0003462051714461753,10259.842192515105
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.5,2316.4191632375955,1.4386889966478709,233.13167863619026,10259.842538720277
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.583333333333333,2461.456824871187,1.9823927095451412,339.93006208984593,10492.974217356466
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.6666666666666665,2462.9028196901136,1.900207946064173,324.6732472894121,10832.904279446313
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.75,2464.3325861224607,1.8216873915781304,310.1428053052998,11157.577526735726
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.833333333333333,2465.6947725769646,1.745529662790112,296.1048535583573,11467.720332041026
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,3.9166666666666665,2467.183300233768,1.6741997151169103,282.994567287736,11763.825185599384
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.0,2468.430693317181,1.6047384307858128,270.2620389297428,12046.81975288712
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.083333333333333,2469.7004063494405,1.5388066188586929,258.2133047744964,12317.081791816863
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.166666666666666,2470.852591748365,1.4742522712406465,246.46734061985927,12575.295096591359
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.25,2472.182835155827,3.154256643277301,525.4226490129031,12821.762437211219
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.333333333333333,2114.806679302833,5.999999612137396,851.4193418594737,13347.185086224123
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.416666666666666,1326.1191483214168,5.999999549062972,531.6744857091182,14198.604428083596
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.5,822.5221954318647,3.490732002315873e-07,1.910586167264754e-05,14730.278913792714
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.583333333333333,860.6991369730074,2.7192002906719434e-07,1.550906087637478e-05,14730.278932898576
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.666666666666666,1048.2193422113664,2.439261376738243e-07,1.6873061260567585e-05,14730.278948407637
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.75,1356.9530290112607,2.0918443942639226e-07,1.865382958552991e-05,14730.278965280699
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.833333333333333,1717.1218680476368,8.270447658944636e-07,9.293822863832242e-05,14730.278983934528
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,4.916666666666666,2118.037728935942,0.43246422683068114,59.69508494579347,14730.279076872757
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,5.0,2463.589509274133,2.0208991698909866,323.1157479140322,14789.97416181855
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,5.083333333333333,2464.922266360434,1.9373883070395561,308.642320372416,15113.089909732584
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,6.0,5.166666666666666,2466.205944880935,1.856502094535416,294.68009190839393,15421.732230104999
