model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.0,500.0,1.2877230047011783e-07,5.365512519588243e-06,0.0
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.08333333333333333,679.8480178424509,9.99423447297464e-08,5.638590605247982e-06,5.365512519588243e-06
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.16666666666666666,907.2736741321087,5.98409018737373e-08,4.486793405390706e-06,1.1004103124836224e-05
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.25,1187.4596269502292,3.966773035681053e-08,3.8765579282435035e-06,1.549089653022693e-05
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.3333333333333333,1521.2772499622367,3.097030827471735e-08,3.861307703892428e-06,1.9367454458470435e-05
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.41666666666666663,1902.6090522232644,1.77395258873447e-08,2.754625220872993e-06,2.3228762162362863e-05
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.5,2316.41968352781,1.4227376070783067,267.8572772051597,2.5983387383235856e-05
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.5833333333333333,2464.5364726228527,1.9803098294930614,395.0210366345874,267.85730318854706
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.6666666666666666,2465.9197050399143,1.89841606955381,377.3224134867479,662.8783398231344
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.75,2467.256383100418,1.8200675084715712,360.44125144737023,1040.2007533098822
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.8333333333333333,2468.522344035456,1.7445617560690518,344.2282911499142,1400.6420047572524
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,0.9166666666666666,2469.811536827454,1.6727411111200634,328.8562770491497,1744.8702959071666
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.0,2471.0031548389643,1.6037883337843313,314.14082486559,2073.7265729563164
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.0833333333333333,2472.1339803991996,1.750382121763169,341.58543357211676,2387.8673978219063
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.1666666666666665,2429.395139114392,7.499999985583227,1432.3340950448087,2729.452831394023
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.25,1215.5741852720885,7.499999698628846,713.7038891110187,4161.786926438832
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.3333333333333333,616.492389181497,7.499999657204598,360.45806871120897,4875.490815549851
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.4166666666666665,500.0,1.3180502892447532e-07,5.116326051365916e-06,5235.94888426106
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.5,679.8480177160872,1.280422557182302e-07,6.729949724690792e-06,5235.948889377386
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.5833333333333333,907.2736723770035,1.1436933361664699e-07,7.988863608857003e-06,5235.948896107336
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.6666666666666665,1187.4596206270537,8.190558658255617e-08,7.456927531413682e-06,5235.948904096199
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.75,1521.277238152306,2.006427009435767e-08,2.3305032852000937e-06,5235.948911553127
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.8333333333333333,1902.6090400211242,1.316729547458784e-08,1.9048227247803746e-06,5235.94891388363
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,1.9166666666666665,2316.419671030725,1.408669688263701,247.07299512554508,5235.948915788453
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.0,2467.2520617504665,1.9786630454726684,368.1075025445174,5483.021910913998
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.083333333333333,2468.5405442143347,1.8970047452320384,351.6320295200701,5851.129413458515
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.1666666666666665,2469.7660538158034,1.8183993300814538,335.82673324990986,6202.761442978585
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.25,2471.00619525926,1.7432653332954302,320.7731085537222,6538.588176228495
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.333333333333333,2472.2116383390157,1.914271602328349,350.94597654028036,6859.361284782218
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.4166666666666665,2423.318242529267,7.499999828766422,1342.1875597612568,7210.307261322499
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.5,1239.717164777913,7.499999590575403,683.7790614209512,8552.494821083756
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.583333333333333,655.8718563018917,7.49999951517036,360.2488592425675,9236.273882504707
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.6666666666666665,500.0,2.5983345491274365e-07,9.474971130599245e-06,9596.522741747274
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.75,679.8480123815694,1.5980863146190891e-07,7.890696278913756e-06,9596.522751222245
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.833333333333333,907.2736636905639,3.94074697069382e-08,2.5858930391728235e-06,9596.52275911294
volterra,20,240,500.0,5.0,5000.0,0.5,0.05,2,10,7.5,2.9166666666666665,1187.4596154597884,1.65664271607675,141.68760061898308,9596.522761698834
