model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.0,500.0,1.0,41.666666666666664,0.0
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.08333333333333333,525.0744661574352,1.0,43.574267291331054,41.666666666666664
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.16666666666666666,543.6664363548335,1.0,44.92955897478829,85.24093395799773
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.25,556.0114492417488,1.0,45.75871367429847,130.17049293278603
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.3333333333333333,562.4075808748054,1.0,46.09265010027031,175.9292066070845
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.41666666666666663,563.2005607165024,1.0,45.96571614012547,222.0218567073548
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.5,563.2427024686295,1.0,45.77801588293995,267.9875728474803
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.5833333333333333,563.2869337327268,1.0,45.59125096216599,313.76558873042023
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.6666666666666666,563.2811619477749,1.0,45.401217411175004,359.3568396925862
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.75,563.28027771443,1.0,45.21236825889776,404.75805710376125
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.8333333333333333,563.2803795103137,1.0,45.024383451893925,449.970425362659
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,0.9166666666666666,563.280217171027,1.0,44.83715922635312,494.9948088145529
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.0,563.2802208682103,1.0,44.6507266940919,539.8319680409061
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.0833333333333333,563.280220786788,1.0,44.46506904845592,584.482694734998
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.1666666666666665,563.2802193709347,1.0,44.28018326209333,628.9477637834539
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.25,563.2802197372458,1.0,44.09606637046781,673.2279470455472
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.3333333333333333,563.2802197126583,1.0,43.91271500594468,717.3240134160151
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.4166666666666665,563.2802197081679,1.0,43.73012601762514,761.2367284219598
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.5,563.2802197137156,1.0,43.54829623475965,804.966854439585
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.5833333333333333,563.2802197127505,1.0,43.36722249929261,848.5151506743446
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.6666666666666665,563.2802197128489,1.0,43.18690166816538,891.8823731736372
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.75,563.2802197128867,1.0,43.00733061071662,935.0692748418027
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,1.0,1.8333333333333333,563.2802197128693,1.0,42.8285062093892,978.0766054525193
