model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.0,500.0,9.44451060811541e-09,3.935212753381421e-07,0.0
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.08333333333333333,536.8801791247894,9.282769075971074e-09,4.1358436370778187e-07,3.935212753381421e-07
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.16666666666666666,575.5465282637963,9.090139552023909e-09,4.3236509148863476e-07,8.071056390459239e-07
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.25,616.0376742351509,8.869845718270448e-09,4.496901876914854e-07,1.2394707305345588e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.3333333333333333,658.3871987451439,8.623566875624388e-09,4.653169003085826e-07,1.689160918226044e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.41666666666666663,702.6228891868919,8.35185903346356e-09,4.789348074711086e-07,2.1544778185346265e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.5,748.7659709158128,8.055674672972636e-09,4.902407519362698e-07,2.633412626005735e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.5833333333333333,796.8303313325578,7.736719622292178e-09,4.989701288208834e-07,3.123653377942005e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.6666666666666666,846.8217478726273,7.395960475466363e-09,5.048110534593624e-07,3.622623506762888e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.75,898.7371337184502,7.035137271562418e-09,5.075022510280182e-07,4.12743456022225e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.8333333333333333,952.5638166399153,6.655944582159116e-09,5.067887068168113e-07,4.634936811250268e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.9166666666666666,1008.2788677505941,6.260212697967629e-09,5.02439002049396e-07,5.141725518067079e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.0,1065.8484980473413,5.850202670752837e-09,4.942770194568455e-07,5.644164520116475e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.0833333333333333,1125.2275412871381,5.428059999032364e-09,4.821469929488815e-07,6.138441539573321e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.1666666666666665,1186.3590419537659,4.996324466851323e-09,4.6596327388858943e-07,6.620588532522202e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.25,1249.1739666917676,4.558100440417371e-09,4.457405704052786e-07,7.086551806410791e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.3333333333333333,1313.5910565639301,4.116102006142771e-09,4.215140939042155e-07,7.53229237681607e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.4166666666666665,1379.5168357684288,3.6738939796241928e-09,3.934683938936585e-07,7.953806470720285e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.5,1446.8457900068706,3.235173720330793e-09,3.618816141913991e-07,8.347274864613944e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.5833333333333333,1515.460724533621,2.803692052855899e-09,3.2712377064038385e-07,8.709156478805342e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.6666666666666665,1585.2333080842,2.384127619294078e-09,2.897678743655162e-07,9.036280249445727e-06
volterra,30,360,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.75,1656.0248044635414,1.980712659771437e-09,2.5044150310373576e-07,9.326048123811243e-06
