model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.0,500.0,1.0,41.666666666666664,0.0
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.08333333333333333,500.0,1.0,41.49341674354625,41.666666666666664
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.16666666666666666,500.0,1.0,41.320887193286495,83.1600834102129
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.25,500.0,1.0,41.149075020578394,124.4809706034994
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.3333333333333333,500.0,1.0,40.97797724256739,165.6300456240778
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.41666666666666663,500.0,1.0,40.80759088880167,206.6080228666452
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.5,500.0,1.0,40.63791300118052,247.41561375544688
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.5833333333333333,500.0,1.0,40.46894063390303,288.05352675662743
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.6666666666666666,500.0,1.0,40.30067085341691,328.52246739053044
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.75,500.0,1.0,40.133100738367574,368.82313824394737
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.8333333333333333,500.0,1.0,39.96622737954742,408.95623898231497
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,0.9166666666666666,500.0,1.0,39.80004787984535,448.9224663618624
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.0,500.0,1.0,39.63455935419641,488.72251424170776
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.0833333333333333,500.0,1.0,39.469758929531785,528.3570735959041
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.1666666666666665,500.0,1.0,39.30564374472884,567.8268325254359
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.25,500.0,1.0,39.14221095056149,607.1324762701647
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.3333333333333333,500.0,1.0,38.97945770965074,646.2746872207263
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.4166666666666665,500.0,1.0,38.8173811964154,685.254144930377
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.5,500.0,1.0,38.65597859702304,724.0715261267924
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.5833333333333333,500.0,1.0,38.49524710934115,762.7275047238154
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.6666666666666665,500.0,1.0,38.33518394288847,801.2227518331565
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.75,500.0,1.0,38.175786318786564,839.5579357760449
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.8333333333333333,500.0,1.0,38.017051469711575,877.7337220948315
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,1.9166666666666665,500.0,1.0,37.858976639846155,915.750773564543
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.0,500.0,1.0,37.70155908483164,953.6097502043891
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.083333333333333,500.0,1.0,37.54479607172044,991.3113092892207
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.1666666666666665,500.0,1.0,37.3886848789285,1028.8561053609412
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.25,500.0,1.0,37.23322279618815,1066.2447902398696
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.333333333333333,500.0,1.0,37.07840712450099,1103.4780130360577
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.4166666666666665,500.0,1.0,36.92423517609105,1140.5564201605587
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.5,500.0,1.0,36.77070427435814,1177.4806553366498
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.583333333333333,500.0,1.0,36.61781175383135,1214.251359611008
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.6666666666666665,500.0,1.0,36.46555496012281,1250.8691713648393
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.75,500.0,1.0,36.31393124988158,1287.334726324962
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.833333333333333,500.0,1.0,36.162937990747764,1323.6486575748436
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,2.9166666666666665,500.0,1.0,36.012572561306825,1359.8115955655912
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.0,500.0,1.0,35.86283235104408,1395.824168126898
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.083333333333333,500.0,1.0,35.7137147602993,1431.687000477942
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.1666666666666665,500.0,1.0,35.56521720022171,1467.4007152382414
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.25,500.0,1.0,35.41733709272492,1502.9659324384631
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.333333333333333,500.0,1.0,35.27007187044225,1538.383269531188
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.4166666666666665,500.0,1.0,35.12341897668211,1573.6533414016303
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.5,500.0,1.0,34.977375865383635,1608.7767603783125
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.583333333333333,500.0,1.0,34.831940001072475,1643.7541362436962
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.6666666666666665,500.0,1.0,34.68710885881677,1678.5860762447687
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.75,500.0,1.0,34.542879924183346,1713.2731851035855
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.833333333333333,500.0,1.0,34.399250693194006,1747.816065027769
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,3.9166666666666665,500.0,1.0,34.2562186722821,1782.215315720963
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.0,500.0,1.0,34.11378137824924,1816.471534393245
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.083333333333333,500.0,1.0,33.971936338222164,1850.5853157714944
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.166666666666666,500.0,1.0,33.83068108960979,1884.5572521097165
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.25,500.0,1.0,33.69001318006052,1918.3879331993262
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.333333333333333,500.0,1.0,33.5499301674196,1952.0779463793867
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.416666666666666,500.0,1.0,33.41042961968678,1985.6278765468064
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.5,500.0,1.0,33.27150911497404,2019.0383061664932
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.583333333333333,500.0,1.0,33.13316624146357,2052.3098152814673
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.666666666666666,500.0,1.0,32.9953985973659,2085.442981522931
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.75,500.0,1.0,32.85820379087819,2118.4383801202966
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.833333333333333,500.0,1.0,32.72157944014272,2151.296583911175
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,4.916666666666666,500.0,1.0,32.585523173205516,2184.0181633513175
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.0,500.0,1.0,32.450032627975204,2216.6036865245233
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.083333333333333,500.0,1.0,32.31510545218195,2249.0537191524986
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.166666666666666,500.0,1.0,32.18073930333671,2281.3688246046804
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.25,500.0,1.0,32.046931848690434,2313.5495639080173
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.333333333333333,500.0,1.0,31.913680765193693,2345.5964957567076
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.416666666666666,500.0,1.0,31.780983739456275,2377.510176521901
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.5,500.0,1.0,31.648838467707016,2409.291160261357
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.583333333333333,500.0,1.0,31.51724265575388,2440.939998729064
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.666666666666666,500.0,1.0,31.386194018944032,2472.4572413848177
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.75,500.0,1.0,31.25569028212424,2503.8434354037618
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.833333333333333,500.0,1.0,31.125729179601354,2535.099125685886
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,5.916666666666666,500.0,1.0,30.996308455102962,2566.2248548654875
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,6.0,500.0,1.0,30.867425861738244,2597.2211633205907
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,6.083333333333333,500.0,1.0,30.73907916195893,2628.088589182329
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,6.166666666666666,500.0,1.0,30.611266127520487,2658.827668344288
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,6.25,500.0,1.0,30.483984539443405,2689.438934471809
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,6.333333333333333,500.0,1.0,30.357232187974706,2719.9229190112524
volterra,30,360,500.0,1.0,5000.0,0.5,0.05,2,10,1.0,6.416666666666666,500.0,1.0,30.231006872549536,2750.280151199227
