model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.0,500.0,0.0,0.0,0.0
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.08333333333333333,687.5,0.0,0.0,0.0
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.16666666666666666,934.5703125,0.9999943657123438,77.23411375234843,0.0
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.25,1173.3090497193023,1.0,96.56116421844622,77.23411375234843
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.3333333333333333,1449.6908891129688,1.0,118.81080052565706,173.79527797079464
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.41666666666666663,1757.7875459858624,1.0,143.46215009204346,292.6060784964517
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.5,2086.2319732459,1.0,169.56022685809612,436.0682285884951
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.5833333333333333,2418.945643811743,1.0,195.78433531211158,605.6284554465913
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.6666666666666666,2737.65268943934,1.0,220.65847989613286,801.4127907587028
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.75,3025.6417319195825,1.0,242.85676885067508,1022.0712706548356
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.8333333333333333,3271.3133183983323,1.0,261.4841038256991,1264.9280395055107
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.9166666666666666,3469.9601889369173,1.0,276.20916332169304,1526.4121433312098
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.0,3623.228275848629,1.0,287.21011230585043,1802.6213066529028
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.0833333333333333,3736.9891062224197,1.0,294.9961182897707,2089.831418958753
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.1666666666666665,3818.894843294473,1.0,300.20824041822925,2384.827537248524
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.25,3876.5299723808707,1.0,303.4719078702127,2685.0357776667533
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.3333333333333333,3916.416244277225,1.0,305.3195627343865,2988.507685536966
differential,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.4166666666666665,3943.6953091664227,1.0,306.1678482768566,3293.827248271353
