model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.0,500.0,0.5,20.833333333333332,0.0
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.08333333333333333,545.9077994907684,0.5,22.651579827822736,20.833333333333332
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.16666666666666666,587.9378455417324,0.5,24.294113392293823,43.48491316115607
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.25,625.9036328668021,0.5,25.755355544488598,67.7790265534499
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.3333333333333333,659.6730290476294,0.5,27.032066371849258,93.53438209793849
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.41666666666666663,689.1656420262871,0.5,28.123189574427066,120.56644846978774
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.5,714.3491209220017,0.5,29.02965742849809,148.6896380442148
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.5833333333333333,735.2346699581956,0.5,29.75416821052551,177.7192954727129
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.6666666666666666,751.8720510011868,0.5,30.300948051282322,207.4734636832384
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.75,764.344329616913,0.5,30.6755079793156,237.77441173452073
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.8333333333333333,772.7625873985485,0.5,30.884405278377777,268.4499197138363
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,0.9166666666666666,777.3107137798631,0.5,30.937003625955317,299.3343249922141
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.0,780.6185051394906,0.5,30.93947047493522,330.2713286181694
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.0833333333333333,782.9504943357908,0.5,30.902867265191407,361.2107990931046
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.1666666666666665,784.5362928218292,0.5,30.836704030465086,392.113666358296
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.25,785.5706989153941,0.5,30.748974013526382,422.95037038876103
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.3333333333333333,786.2146233901017,0.5,30.646219663143448,453.6993444022874
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.4166666666666665,786.596651004007,0.5,30.53362204984626,484.34556406543084
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.5,786.8150723476147,0.5,30.415106596484524,514.8791861152771
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.5833333333333333,786.940239870356,0.5,30.293458994093548,545.2942927117616
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.6666666666666665,787.017123200763,0.5,30.170446184104165,575.5877517058551
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.75,787.0679603241229,0.5,30.046938271696895,605.7581978899593
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.8333333333333333,787.0954129711782,0.5,29.923046826499167,635.8051361616563
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,1.9166666666666665,787.109374263584,0.5,29.799155413248947,665.7281829881555
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.0,787.1160603699772,0.5,29.675502656658608,695.5273384014044
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.083333333333333,787.1191240736164,0.5,29.552226997495143,725.2028410580631
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.1666666666666665,787.1205254745165,0.5,29.42940128870331,754.7550680555582
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.25,787.1211912473385,0.5,29.30705868131318,784.1844693442615
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.333333333333333,787.1214910076346,0.5,29.18521110002532,813.4915280255747
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.4166666666666665,787.1215565005922,0.5,29.063861464398705,842.6767391256
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.5,787.1214667341228,0.5,28.94301068127946,871.7406005899986
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.583333333333333,787.1213199201119,0.5,28.82266032026192,900.6836112712781
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.6666666666666665,787.1212111680323,0.5,28.70281178612632,929.50627159154
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.75,787.1211381739697,0.5,28.58346289697807,958.2090833776663
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.833333333333333,787.121090398146,0.5,28.464611183277917,986.7925462746443
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,2.9166666666666665,787.1210580550985,0.5,28.346254217741844,1015.2571574579223
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.0,787.1210349619557,0.5,28.228389716820917,1043.6034116756641
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.083333333333333,787.1210181995298,0.5,28.11101552581436,1071.831801392485
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.1666666666666665,787.1210066132162,0.5,27.99412956305618,1099.9428169182993
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.25,787.1209994065595,0.5,27.877729768744647,1127.9369464813556
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.333333333333333,787.1209954403881,0.5,27.761814079916537,1155.8146762501003
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.4166666666666665,787.1209933295779,0.5,27.64638043405697,1183.576490330017
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.5,787.1209920156051,0.5,27.531426789263453,1211.2228707640738
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.583333333333333,787.120991176043,0.5,27.41695113822863,1238.7542975533372
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.6666666666666665,787.1209906525294,0.5,27.30295148782399,1266.1712486915658
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.75,787.1209903509007,0.5,27.189425855495443,1293.4742001793898
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.833333333333333,787.1209901978982,0.5,27.076372267692598,1320.6636260348853
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,3.9166666666666665,787.1209901317598,0.5,26.963788759496765,1347.739998302578
volterra,30,360,500.0,2,5000.0,1.4,0.05,2,10,0.5,4.0,787.1209901063237,0.5,26.85167337471821,1374.7037870620748
