model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.0,500.0,0.0,0.0,0.0
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.08333333333333333,612.4062890516516,0.0,0.0,0.0
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.16666666666666666,746.5502440028861,0.0,0.0,0.0
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.25,904.9833149085365,2.6470602315010516e-06,0.0001971489500740713,0.0
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.3333333333333333,1089.7875093919365,3.1601501872790674e-06,0.000282247472550571,0.0001971489500740713
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.41666666666666663,1302.1834937038084,3.668466563695654e-06,0.0003898770786899496,0.0004793964226246423
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.5,1542.0761170470287,0.9536935668102132,119.52976235631232,0.0008692735013145919
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.5833333333333333,1685.049410278097,1.0,136.38432909947525,119.53063162981363
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.6666666666666666,1822.5995381369223,1.0,146.90396816809158,255.91496072928888
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.75,1958.710713820664,0.9999977867284694,157.21792082345075,402.8189288973805
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.8333333333333333,2091.5267134172527,0.999998121890913,167.18055041376226,560.0368497208312
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.9166666666666666,2219.3300100922384,0.9999984068470839,176.65859988108554,727.2174001345935
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.0,2340.6314277031065,0.9999986468437467,185.5395394308648,903.876000015679
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.0833333333333333,2454.235906977795,0.9999988502956066,193.73597646986934,1089.4155394465438
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.1666666666666665,2559.2804395137514,0.999999026849645,201.18813461026596,1283.1515159164132
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.25,2655.242439128502,0.9999991850436886,207.86394995432653,1484.3396505266792
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.3333333333333333,2741.9215447703327,0.9999993319052439,213.75708698502652,1692.2036004810057
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.4166666666666665,2819.400989427426,0.9999994710529934,218.8834101265244,1905.9606874660321
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.5,2887.9961776905247,0.9999996072919582,223.27654918364766,2124.8440975925564
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.5833333333333333,2948.19804048027,0.9999997395203254,226.9831650666103,2348.120646776204
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.6666666666666665,3000.617506029079,0.9999998694252196,230.05841803192064,2575.103811842814
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.75,3045.935587400826,0.9999999936051589,232.5619707636063,2805.1622298747347
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.8333333333333333,3084.861678660307,1.0,234.55469042913947,3037.7242006383412
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.9166666666666665,3118.1010246885994,1.0,236.09622770873207,3272.278891067481
volterra,30,360,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.0,3146.33098072731,1.0,237.24316674065395,3508.3751187762127
