model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.0,500.0,0.5,20.833333333333332,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.08333333333333333,500.0,0.5,20.746708371773124,20.833333333333332
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.16666666666666666,500.0,0.5,20.660443596643248,41.58004170510645
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.25,500.0,0.5,20.574537510289197,62.2404853017497
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.3333333333333333,500.0,0.5,20.488988621283696,82.8150228120389
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.41666666666666663,500.0,0.5,20.403795444400835,103.3040114333226
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.5,500.0,0.5,20.31895650059026,123.70780687772344
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.5833333333333333,500.0,0.5,20.234470316951516,144.02676337831372
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.6666666666666666,500.0,0.5,20.150335426708455,164.26123369526522
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.75,500.0,0.5,20.066550369183787,184.41156912197368
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.8333333333333333,500.0,0.5,19.98311368977371,204.47811949115749
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.9166666666666666,500.0,0.5,19.900023939922676,224.4612331809312
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.0,500.0,0.5,19.817279677098206,244.36125712085388
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.0833333333333333,500.0,0.5,19.734879464765893,264.17853679795206
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.1666666666666665,500.0,0.5,19.65282187236442,283.91341626271793
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.25,500.0,0.5,19.571105475280746,303.56623813508236
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.3333333333333333,500.0,0.5,19.48972885482537,323.13734361036313
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.4166666666666665,500.0,0.5,19.4086905982077,342.6270724651885
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.5,500.0,0.5,19.32798929851152,362.0357630633962
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.5833333333333333,500.0,0.5,19.247623554670575,381.3637523619077
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.6666666666666665,500.0,0.5,19.167591971444235,400.61137591657825
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.75,500.0,0.5,19.087893159393282,419.77896788802246
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.8333333333333333,500.0,0.5,19.008525734855787,438.86686104741574
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.9166666666666665,500.0,0.5,18.929488319923077,457.8753867822715
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.0,500.0,0.5,18.85077954241582,476.80487510219456
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.083333333333333,500.0,0.5,18.77239803586022,495.65565464461037
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.1666666666666665,500.0,0.5,18.69434243946425,514.4280526804706
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.25,500.0,0.5,18.616611398094076,533.1223951199348
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.333333333333333,500.0,0.5,18.539203562250496,551.7390065180289
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.4166666666666665,500.0,0.5,18.462117588045526,570.2782100802793
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.5,500.0,0.5,18.38535213717907,588.7403276683249
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.583333333333333,500.0,0.5,18.308905876915674,607.125679805504
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.6666666666666665,500.0,0.5,18.232777480061404,625.4345856824197
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.75,500.0,0.5,18.15696562494079,643.667363162481
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.833333333333333,500.0,0.5,18.081468995373882,661.8243287874218
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.9166666666666665,500.0,0.5,18.006286280653413,679.9057977827956
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.0,500.0,0.5,17.93141617552204,697.912084063449
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.083333333333333,500.0,0.5,17.85685738014965,715.843500238971
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.1666666666666665,500.0,0.5,17.782608600110855,733.7003576191207
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.25,500.0,0.5,17.70866854636246,751.4829662192316
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.333333333333333,500.0,0.5,17.635035935221126,769.191634765594
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.4166666666666665,500.0,0.5,17.561709488341055,786.8266707008152
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.5,500.0,0.5,17.488687932691818,804.3883801891562
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.583333333333333,500.0,0.5,17.415970000536237,821.8770681218481
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.6666666666666665,500.0,0.5,17.343554429408385,839.2930381223844
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.75,500.0,0.5,17.271439962091673,856.6365925517928
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.833333333333333,500.0,0.5,17.199625346597003,873.9080325138845
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,3.9166666666666665,500.0,0.5,17.12810933614105,891.1076578604815
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.0,500.0,0.5,17.05689068912462,908.2357671966225
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.083333333333333,500.0,0.5,16.985968169111082,925.2926578857472
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.166666666666666,500.0,0.5,16.915340544804895,942.2786260548583
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.25,500.0,0.5,16.84500659003026,959.1939665996631
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.333333333333333,500.0,0.5,16.7749650837098,976.0389731896934
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.416666666666666,500.0,0.5,16.70521480984339,992.8139382734032
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.5,500.0,0.5,16.63575455748702,1009.5191530832466
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.583333333333333,500.0,0.5,16.566583120731785,1026.1549076407337
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.666666666666666,500.0,0.5,16.49769929868295,1042.7214907614655
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.75,500.0,0.5,16.429101895439096,1059.2191900601483
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.833333333333333,500.0,0.5,16.36078972007136,1075.6482919555874
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,4.916666666666666,500.0,0.5,16.292761586602758,1092.0090816756588
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.0,500.0,0.5,16.225016313987602,1108.3018432622616
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.083333333333333,500.0,0.5,16.157552726090977,1124.5268595762493
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.166666666666666,500.0,0.5,16.090369651668354,1140.6844123023402
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.25,500.0,0.5,16.023465924345217,1156.7747819540086
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.333333333333333,500.0,0.5,15.956840382596846,1172.7982478783538
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.416666666666666,500.0,0.5,15.890491869728137,1188.7550882609505
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.5,500.0,0.5,15.824419233853508,1204.6455801306786
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.583333333333333,500.0,0.5,15.75862132787694,1220.469999364532
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.666666666666666,500.0,0.5,15.693097009472016,1236.2286206924089
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.75,500.0,0.5,15.62784514106212,1251.9217177018809
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,5.833333333333333,500.0,0.5,15.562864589800677,1267.549562842943
