model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.0,500.0,5.5687113382914936e-08,2.320296390954789e-06,0.0
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.08333333333333333,537.4999976797036,5.398164400075757e-08,2.4078740544576917e-06,2.320296390954789e-06
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.16666666666666666,577.4765576099898,5.217841425654533e-08,2.490146330356908e-06,4.728170445412481e-06
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.25,620.0416153233532,5.027958624320427e-08,2.5656806989944755e-06,7.218316775769389e-06
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.3333333333333333,665.3042205901331,4.828279248825288e-08,2.6326502783236945e-06,9.783997474763864e-06
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.41666666666666663,713.3690745301647,4.6191294537253994e-08,2.689337849937426e-06,1.2416647753087558e-05
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.5,764.3349040534579,4.4008571517704234e-08,2.7338983088527114e-06,1.5105985603024984e-05
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.5833333333333333,818.2926791622319,4.173795011036971e-08,2.7643409860811116e-06,1.7839883911877695e-05
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.6666666666666666,875.3236844334212,3.938886451734042e-08,2.778973544182649e-06,2.0604224897958808e-05
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.75,935.4974627208709,3.6967838286455014e-08,2.7758716441070387e-06,2.338319844214146e-05
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.8333333333333333,998.8696566863804,3.448696607584381e-08,2.7535119197710686e-06,2.6159070086248496e-05
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.9166666666666666,1065.4797820221006,3.195917135463552e-08,2.7105305947068163e-06,2.8912582006019564e-05
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,1.0,1135.3489749213236,2.9400944563238388e-08,2.646029521362372e-06,3.162311260072638e-05
differential,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,1.0833333333333333,1208.4777651354912,2.683305705787049e-08,2.559783809551496e-06,3.4269142122088756e-05
