model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.0,500.0,0.499999486909644,20.8333119545685,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.08333333333333333,500.0,0.4999994832410266,20.746686929677683,20.8333119545685
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.16666666666666666,500.0,0.49999948081540424,20.660422143475135,41.57999888424618
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.25,500.0,0.49999948009036643,20.57451611648868,62.24042102772131
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.3333333333333333,500.0,0.4999994808161432,20.48896734617943,82.81493714420999
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.41666666666666663,500.0,0.4999994828867216,20.403774342253726,103.30390449038941
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.5,500.0,0.4999994850435314,20.31893557383409,123.70767883264314
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.5833333333333333,500.0,0.49999948719323584,20.234449564205022,144.02661440647722
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.6666666666666666,500.0,0.49999948932929783,20.15031484633657,164.26106397068224
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.75,500.0,0.4999994914728063,20.066529960410694,184.41137881701883
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.8333333333333333,500.0,0.4999994935823793,19.983093450171932,204.47790877742952
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,0.9166666666666666,500.0,0.49999949568632474,19.90000386821425,224.46100222760145
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.0,500.0,0.49999949777617303,19.81725977167813,244.3610060958157
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.0833333333333333,500.0,0.49999949987284253,19.734859724867555,264.17826586749385
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.1666666666666665,500.0,0.4999995019588255,19.65280229653544,283.9131255923614
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.25,500.0,0.4999995040200247,19.571086061527925,303.5659278888968
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.3333333333333333,500.0,0.4999995060872493,19.48970960237419,323.1370139504247
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.4166666666666665,500.0,0.4999995081582824,19.408671506200257,342.6267235527989
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.5,500.0,0.4999995101908894,19.32797036446102,362.0353950589992
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.5833333333333333,500.0,0.49999951222821437,19.24760477777515,381.3633654234602
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.6666666666666665,500.0,0.49999951425962763,19.16757335049771,400.6109702012354
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.75,500.0,0.4999995162855271,19.087874693212925,419.7785435517331
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.8333333333333333,500.0,0.4999995182946577,19.008507421838996,438.86641824494603
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,1.9166666666666665,500.0,0.49999952029276074,18.92947015869791,457.87492566678503
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,2.0,500.0,0.49999952230734834,18.85076153265809,476.80439582548297
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,2.083333333333333,500.0,0.4999995242886257,18.772380175373684,495.6551573581411
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,2.1666666666666665,500.0,0.4999995262690504,18.69432472728706,514.4275375335147
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,2.25,500.0,0.4999995282432792,18.616593833070986,533.1218622608018
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,2,10,0.5,2.333333333333333,500.0,0.499999530204434,18.539186142979233,551.7384560938727
