model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.0,500.0,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.08333333333333333,571.9392092831854,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.16666666666666666,649.9775163574432,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.25,734.257798994189,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.3333333333333333,824.8419295360563,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.41666666666666663,921.6949619367535,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.5,1024.6703044641843,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.5833333333333333,1133.4970421877551,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.6666666666666666,1247.7707019062432,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.75,1366.9487741094817,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.8333333333333333,1490.3521842708744,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,0.9166666666666666,1617.1736140400012,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,1.0,1746.4931089870454,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,1.0833333333333333,1877.3008012193336,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,1.1666666666666665,2008.5258837289346,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,1.25,2139.0702886588215,0.0,0.0,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,1.3333333333333333,2267.8449486855325,0.04253903677903113,7.520847785948381,0.0
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,1.4166666666666665,2385.766830368999,0.5923968120003085,109.7228139723008,7.520847785948381
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,1.5,2390.1167653801613,0.5646224670746469,104.33353958291504,117.24366175824917
volterra,20,240,500.0,2.0,5000.0,0.5,0.05,2,10,1.0,1.5833333333333333,2394.8310687317035,0.8814552032048217,162.52202948851595,221.5772013411642
