model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.0,500.0,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.08333333333333333,607.9088139247781,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.16666666666666666,731.5563548285699,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.25,871.8650034748873,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.3333333333333333,1029.303595245753,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.41666666666666663,1203.715291701144,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.5,1394.1540997455554,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.5833333333333333,1598.7604838569082,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.6666666666666666,1814.7119268789472,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.75,2038.281809419969,0.7045966370102563,115.27563030103869,0.0
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.8333333333333333,2145.345679380819,0.9999998203654608,171.48271565550274,115.27563030103869
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.9166666666666666,2188.249604410912,1.0,174.18487805721387,286.75834595654146
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.0,2219.90240633929,1.0,175.96970736915605,460.9432240137553
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.0833333333333333,2241.0821913913896,1.0,176.90994767096993,636.9129313829113
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.1666666666666665,2252.630533688961,1.0,177.08218649135338,813.8228790538813
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.25,2255.40398002877,1.0,176.56299673004418,990.9050655452346
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.3333333333333333,2250.237634889013,1.0,175.42608545164154,1167.4680622752787
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.4166666666666665,2237.9198150463444,1.0,173.74037309533077,1342.8941477269202
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.5,2219.1760180137057,1.0,171.56884131072923,1516.634520822251
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.5833333333333333,2194.6602153530544,1.0,168.96797462211137,1688.2033621329801
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.6666666666666665,2164.951560466517,1.0,165.98763259585473,1857.1713367550915
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.75,2130.554847790959,1.0,162.67121321944495,2023.1589693509463
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.8333333333333333,2091.9033723889784,1.0,159.05599635555,2185.830182570391
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.9166666666666665,2049.3631500250344,1.0,155.1735832467186,2344.8861789259413
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.0,2003.237732659527,1.0,151.05037147765466,2500.0597621726597
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.083333333333333,1953.7730785479528,1.0,146.70802360900063,2651.1101336503143
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.1666666666666665,1901.1621081153592,1.0,142.16390192816914,2797.818157259315
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.25,1845.5487013482048,1.0,137.43145195702684,2939.982059187484
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.333333333333333,1787.0309770021747,1.0,132.5205242187628,3077.4135111445107
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.4166666666666665,1725.6637460409142,1.0,127.43762798733798,3209.9340353632733
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.5,1661.460057919671,1.0,122.18611290684436,3337.3716633506115
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.583333333333333,1594.3917635277405,0.0,0.0,3459.5577762574558
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.6666666666666665,1657.2549862118542,0.0,0.0,3459.5577762574558
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.75,1722.8238141743107,0.0,0.0,3459.5577762574558
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.833333333333333,1790.8108220797744,0.0,0.0,3459.5577762574558
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.9166666666666665,1908.366681353089,0.0,0.0,3459.5577762574558
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.0,2080.5560221849964,0.17320722883962691,25.847587217061914,3459.5577762574558
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.083333333333333,2228.625760085715,1.0,159.18500940631287,3485.405363474518
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.1666666666666665,2223.5539104876516,0.9999984809513645,158.16211530948092,3644.5903728808307
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.25,2217.671120297071,1.0,157.08801125672457,3802.752488190312
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.333333333333333,2208.8701354343766,0.9999998281708584,155.8139900850992,3959.8404994470366
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.4166666666666665,2197.2502732385683,0.9999999642322358,154.34987836642472,4115.654489532136
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.5,2184.937086445965,1.0,152.8467314296735,4270.00436789856
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.583333333333333,2170.662949333106,1.0,151.21680322744353,4422.851099328233
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.6666666666666665,2153.74315873478,1.0,149.4142468019304,4574.067902555677
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.75,2135.5454186727266,1.0,147.53577793970368,4723.482149357607
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.833333333333333,2116.336140125126,0.9999999323049755,145.60074501401485,4871.017927297311
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.9166666666666665,2094.6279038122116,1.0,143.50806302011,5016.618672311326
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,4.0,2071.3724354363467,1.0,141.32469283081446,5160.126735331436
volterra,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,4.083333333333333,2042.9502393837693,0.9999999830997746,138.8059486031504,5301.4514281622505
