model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.0,500.0,2.4038922557814847e-08,1.0016217732422853e-06,0.0
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.08333333333333333,537.3440740675699,2.336251265402291e-08,1.0417924530324657e-06,1.0016217732422853e-06
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.16666666666666666,576.988978307028,2.264024686169274e-08,1.0795637880164792e-06,2.0434142262747507e-06
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.25,619.0258118500662,2.187548354853858e-08,1.1144394904779588e-06,3.12297801429123e-06
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.3333333333333333,663.541899572496,2.1068867190512456e-08,1.1457504852573195e-06,4.237417504769189e-06
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.41666666666666663,710.6195136644519,2.022058804668571e-08,1.1727403357648897e-06,5.3831679900265084e-06
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.5,760.3344803666473,1.933403972187175e-08,1.1947820358712855e-06,6.555908325791398e-06
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.5833333333333333,812.7546806106184,1.8410401571526878e-08,1.2110848526940487e-06,7.750690361662683e-06
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.6666666666666666,867.9384579367686,1.7454419887197896e-08,1.2210589258575785e-06,8.961775214356732e-06
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.75,925.9329522368455,1.6468214005403783e-08,1.223936124072894e-06,1.018283414021431e-05
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.8333333333333333,986.7723834760011,1.5456741380467742e-08,1.2191526233214375e-06,1.1406770264287204e-05
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,0.9166666666666666,1050.476315429417,1.4426125851661415e-08,1.2062840122051364e-06,1.2625922887608642e-05
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,1.0,1117.047935408385,1.3383014936419023e-08,1.18503124898046e-06,1.3832206899813778e-05
volterra,30,360,500.0,1.0,5000.0,0.05,0.05,2,10,1.0,1.0833333333333333,1186.4723916702847,1.2333737027160969e-08,1.1551723652547079e-06,1.5017238148794239e-05
