model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.0,500.0,0.0,0.0,0.0
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.08333333333333333,612.5,0.0,0.0,0.0
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.16666666666666666,746.8671875,0.0,0.0,0.0
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.25,905.693454586792,0.0,0.0,0.0
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.3333333333333333,1091.102786549422,0.0,0.0,0.0
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.41666666666666663,1304.3532186459818,0.0,0.0,0.0
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.5,1545.3746573578705,1.0,125.6016017598766,0.0
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.5833333333333333,1683.527958670651,1.0,136.26118602991707,125.6016017598766
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.6666666666666666,1822.402632401138,1.0,146.88809730159758,261.8627877897937
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.75,1960.0788367388645,1.0,157.32808281996637,408.7508850913913
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.8333333333333333,2094.6631905504296,1.0,167.43157071421348,566.0789679113577
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.9166666666666666,2224.3930282164893,1.0,177.0618980532209,733.5105386255711
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.0,2347.728982386998,1.0,186.10240739996925,910.572436678792
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.0833333333333333,2463.4255773811697,1.0,194.46162736015484,1096.6748440787612
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.1666666666666665,2570.5732281799105,1.0,202.07607105315424,1291.136471438916
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.25,2668.6097634714647,1.0,208.91057261305616,1493.2125424920703
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.3333333333333333,2757.304153898614,1.0,214.95644131907068,1702.1231151051265
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.4166666666666665,2836.718536359722,1.0,220.2279695456257,1917.079556424197
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.5,2907.1563563600002,1.0,224.75794777930327,2137.307525969823
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.5833333333333333,2969.104511737116,1.0,228.59282374555994,2362.0654737491263
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.6666666666666665,3023.176183612417,1.0,231.78803018108312,2590.6582974946864
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.75,3070.0591690230863,1.0,234.40384564531354,2822.4463276757697
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.8333333333333333,3110.4725321284645,1.0,236.50198869810384,3056.8501733210833
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.9166666666666665,3145.132652160259,1.0,238.14300721470525,3293.3521620191873
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.0,3174.728457536071,1.0,239.38442504018522,3531.4951692338927
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.083333333333333,3199.904828170948,1.0,240.27954844518376,3770.879594274078
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.1666666666666665,3221.2527540651854,1.0,240.8768082742476,4011.1591427192616
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.25,3239.3047477974224,1.0,241.219510758983,4252.035950993509
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.333333333333333,3254.53410997518,1.0,241.34588146047042,4493.255461752492
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.4166666666666665,3267.3568479881133,1.0,241.28930531864935,4734.601343212962
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.5,3278.1352840480577,1.0,241.07868620214032,4975.890648531611
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.583333333333333,3287.182617696692,1.0,240.73886859056807,5216.969334733752
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.6666666666666665,3294.7679092084436,1.0,240.29108054817883,5457.70820332432
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.75,3301.1211152990286,1.0,239.75337045700263,5697.999283872498
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.833333333333333,3306.4379369552116,1.0,239.1410201687346,5937.752654329501
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.9166666666666665,3310.8843349009153,1.0,238.4669247054266,6176.893674498236
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.0,3314.6006367631207,1.0,237.74193389379948,6415.360599203662
differential,20,240,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,3.083333333333333,3317.7052071621165,1.0,236.97515485469506,6653.102533097462
