model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.0,500.0,0.0,0.0,0.0
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.08333333333333333,666.8528320602545,0.0,0.0,0.0
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.16666666666666666,862.7607077566021,0.0,0.0,0.0
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.25,1087.5129962875092,0.0,0.0,0.0
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.3333333333333333,1338.3454858608231,0.9999999728206616,109.68537874341912,0.0
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.41666666666666663,1497.9094060905563,0.9999999795590113,122.25214596550785,109.68537874341912
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.5,1639.9271428598533,0.9999999868731161,133.286431369991,231.93752470892696
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.5833333333333333,1760.3372606480052,1.0,142.4779681936232,365.2239560789179
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.6666666666666666,1856.6894369698025,1.0,149.65165975267195,507.70192427254113
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.75,1928.1299457418136,1.0,154.7636666982388,657.3535840252131
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.8333333333333333,1975.1500149541887,1.0,157.8785892127512,812.1172507234519
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,0.9166666666666666,1999.2045647051284,1.0,159.13687479373897,969.9958399362031
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.0,2002.3102777222277,1.0,158.7213710957983,1129.132714729942
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.0833333333333333,1986.6994077627626,1.0,156.82909337967962,1287.8540858257404
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.1666666666666665,1954.5638711626082,0.9999999969938488,153.6507819305736,1444.68317920542
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.25,1907.8909771053477,0.999999992201071,149.35814102822727,1598.3339611359936
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.3333333333333333,1848.373762995216,0.9999999890424138,144.0972122736424,1747.6921021642208
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.4166666666666665,1777.3730909247697,0.9999999877923014,137.985935912865,1891.7893144378631
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.5,1695.9102777929102,0.9999999879921863,131.11414122727405,2029.7752503507281
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.5833333333333333,1631.3373628462919,0.9999999895203937,125.59746848672582,2160.8893915780022
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.6666666666666665,1630.5359137060957,0.9999999916671615,125.01378731309808,2286.4868600647283
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.75,1634.3055227920959,0.9999999940956752,124.78179609869537,2411.500647377826
volterra,30,360,500.0,5,5000.0,1.4,0.05,2,10,1.0,1.8333333333333333,1641.3923772810285,0.9999999964812565,124.80179653902469,2536.2824434765216
