model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.0,500.0,1.0,41.666666666666664,0.0
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.08333333333333333,572.0578320294521,1.0,47.47326805161527,41.666666666666664
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.16666666666666666,607.6697270425741,1.0,50.2189044838028,89.13993471828194
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.25,614.4209040058385,1.0,50.56570374629568,139.35883920208474
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.3333333333333333,616.1803024565373,1.0,50.499644822764566,189.9245429483804
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.41666666666666663,616.5881981245469,1.0,50.3229578718598,240.42418777114497
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.5,616.688569277043,1.0,50.121872854205925,290.7471456430048
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.5833333333333333,616.7124310896107,1.0,49.91539752391095,340.86901849721073
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.6666666666666666,616.7182115091275,1.0,49.708315302674606,390.7844160211217
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.75,616.7195971416587,1.0,49.501739438823314,440.4927313237963
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.8333333333333333,616.7199312312354,1.0,49.295938002172804,489.99447076261964
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,0.9166666666666666,616.7200115234009,1.0,49.09097197418026,539.2904087647925
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.0,616.7200308547665,1.0,48.886853335670175,588.3813807389727
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.0833333333333333,616.7200355044057,1.0,48.683582256742355,637.2682340746428
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.1666666666666665,616.7200366233697,1.0,48.48115609950858,685.9518163313852
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.25,616.7200368925722,1.0,48.279571562974255,734.4329724308938
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.3333333333333333,616.7200369573488,1.0,48.07882519854644,782.712543993868
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.4166666666666665,616.7200369729342,1.0,47.87891353329156,830.7913691924145
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.5,616.720036976684,1.0,47.6798330994519,878.6702827257061
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.5833333333333333,616.7200369775863,1.0,47.481580441468395,926.350115825158
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.6666666666666665,616.7200369778036,1.0,47.28415211761816,973.8316962666264
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.75,616.7200369778556,1.0,47.087544700361526,1021.1158483842446
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.8333333333333333,616.7200369778683,1.0,46.89175477638009,1068.2033930846062
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,1.9166666666666665,616.7200369778714,1.0,46.696778946540576,1115.0951478609863
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,2.0,616.7200369778718,1.0,46.50261382584158,1161.791926807527
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,1.0,2.083333333333333,616.7200369778725,1.0,46.30925604335622,1208.2945406333686
