model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.0,500.0,1.322550239460429e-08,6.612751197302145e-07,0.0
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.1,544.1089396375289,1.2806966191685157e-08,6.933629830375371e-07,6.612751197302145e-07
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.2,590.7651641691723,1.3767107249807234e-08,8.052201405050839e-07,1.3546381027677516e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.30000000000000004,640.0327607305906,1.1578244512143109e-08,7.300128486008663e-07,2.1598582432728353e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.4,691.9652421770624,1.0965351072161932e-08,7.437396435889849e-07,2.8898710918737017e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.5,746.603721994346,1.1908553775926453e-08,8.671451727083623e-07,3.6336107354626866e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.6000000000000001,803.9750475631695,9.350578389039644e-09,7.295452111049092e-07,4.500755908171049e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.7000000000000001,864.0899294531278,8.602070575355993e-09,7.177308903502484e-07,5.230301119275958e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.8,926.941110857341,9.588009414735497e-09,8.53903545022561e-07,5.948032009626206e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.9,992.5016315317876,8.787607157001518e-09,8.337937042466089e-07,6.801935554648767e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.0,1060.7232429904739,5.77845638018511e-09,5.830411405961997e-07,7.635729258895376e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.1,1131.5350365301451,6.842510193785484e-09,7.32819913833695e-07,8.218770399491576e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.2000000000000002,1204.8423484978155,6.309697787287703e-09,7.159473955836794e-07,8.951590313325272e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.3,1280.5260093762859,5.449420357061186e-09,6.538973427384174e-07,9.667537708908951e-06
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.4000000000000001,1358.441993581358,4.31142203789646e-09,5.460859740465167e-07,1.0321435051647368e-05
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.5,1438.421526777243,1.3398883484182947e-09,1.7880625132683373e-07,1.0867521025693885e-05
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.6,1520.2716938500698,1.2237720234581561e-08,1.7174265460236189e-06,1.104632727702072e-05
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.7000000000000002,1603.7765747435276,1.716317769385231e-07,2.5282879432610498e-05,1.2763753823044338e-05
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.8,1688.6989070231034,8.986438953760636e-08,1.3869261839948289e-05,3.804663325565484e-05
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.9000000000000001,1774.7823889478386,1.188070995889078e-07,1.9174741971062078e-05,5.1915895095603127e-05
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.0,1861.7542931289,1.440000087319351e-07,2.4258024716583124e-05,7.109063706666521e-05
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.1,1949.3287300869642,3.845077577162654e-08,6.748220572211838e-06,9.534866178324833e-05
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.2,2037.2102367068985,1.84121370872151e-07,3.360219567719919e-05,0.00010209688235546016
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.3000000000000003,2125.097560493146,1.8255127084327983e-06,0.0003457959225539659,0.00013569907803265936
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.4000000000000004,2212.6875415397885,6.41269221618569e-08,1.2584766116736538e-05,0.0004814950005866253
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.5,2299.6805877505326,0.31655049017096915,64.24268729475665,0.0004940797667033618
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.6,2312.986180373875,0.35132979682313575,71.35587562659452,64.24318137452336
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.7,2316.2222755089633,0.341367022808946,69.0831359170679,135.5990570011179
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.8000000000000003,2320.002623727387,0.3374086694028691,68.05240622369277,204.68219291818582
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.9000000000000004,2322.9587106937097,0.3299455811249289,66.29963034495042,272.73459914187856
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.0,2325.960831568709,0.32205751604402355,64.47504646374065,339.03422948682896
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.1,2329.142175561711,0.3161120644374631,63.05527526128773,403.50927595056964
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.2,2332.081053688517,0.30757736386390244,61.12387712303279,466.5645512118574
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.3000000000000003,2335.4208040117655,0.3023364073520048,59.868310602957926,527.6884283348902
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.4000000000000004,2338.417113076609,0.29676240424797257,58.54648142527975,587.5567389378481
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.5,2341.18795746613,0.6618108051925453,130.06744245064374,646.1032203631278
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.6,2257.000297359607,0.9999987582278717,188.5202774535694,776.1706628137715
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.7,2099.991044615391,0.9999999742556287,174.5311508299003,964.6909402673409
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.8000000000000003,1955.3430953085854,0.9999999859561662,161.69888099497987,1139.2220910972412
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.9000000000000004,1821.1871338590186,0.9999999850993245,149.8535870215709,1300.920972092221
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,4.0,1696.0136827034307,0.9999999939934953,138.85785513298376,1450.7745591137918
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,4.1000000000000005,1578.591346790843,0.9999999852901282,128.59951854566165,1589.6324142467756
volterra,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,4.2,1467.9062685098884,0.9999999834601876,118.98616761349098,1718.2319327924372
