model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.0,500.0,1.5757771645004304e-07,6.565738185418459e-06,0.0
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.08333333333333333,607.9088073590399,1.4527439833753495e-07,7.328864875380308e-06,6.565738185418459e-06
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.16666666666666666,731.5563397117675,1.2951216308781253e-07,7.829931605275952e-06,1.3894603060798767e-05
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.25,871.8649779470394,1.1007247898099079e-07,7.898016800025224e-06,2.1724534666074717e-05
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.3333333333333333,1029.3035578851777,3.140972558875242e-07,2.6496476708940977e-05,2.962255146609994e-05
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.41666666666666663,1203.7152224362308,5.794311807880018e-07,5.692415166220649e-05,5.6119028175040916e-05
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.5,1394.153964256192,5.547959987996568e-07,6.286449775268435e-05,0.0001130431798372474
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.5833333333333333,1598.760270381039,5.748998794098518e-07,7.439219900908539e-05,0.00017590767758993175
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.6666666666666666,1814.711619748204,1.2411718861802735e-06,0.00018154396696180324,0.00025029987659901717
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.75,2038.2812964928912,0.7122771842917792,116.53217797692002,0.0004318438435608204
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.8333333333333333,2144.040583693523,0.9999992412975464,171.37829693251277,116.53260982076358
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,0.9166666666666666,2187.0088952571477,0.9999999372706749,174.08610656945964,287.9109067532763
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.0,2218.7297452648963,0.9999999260364815,175.87673855078188,461.99701332273594
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.0833333333333333,2239.9789558771567,0.9999999144785574,176.8228436692454,637.8737518735178
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.1666666666666665,2251.596209982383,0.9999999020039794,177.0008596277168,814.6965955427631
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.25,2254.436632419046,0.9999998879865485,176.48724871269144,991.69745517048
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.3333333333333333,2249.3343226594197,0.9999998718963835,175.35564174624272,1168.1847038831716
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.4166666666666665,2237.0769427229875,0.9999998229396604,173.67490615183615,1343.5403456294143
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.5,2218.389621536289,0.9999997696104461,171.50800394626802,1517.2152517812506
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.5833333333333333,2193.9261713055157,0.999999709722225,168.91141117687022,1688.7232557275186
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.6666666666666665,2164.2657441457204,0.9999996479868145,165.93499239491135,1857.6346669043887
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.75,2129.9132424509635,0.9999996905147732,162.62217531354725,2023.5696592993002
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.8333333333333333,2091.302122718602,0.9999996708380292,159.01022853608288,2186.1918346128473
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,1.9166666666666665,2048.798636214562,0.9999997006506461,155.130792978075,2345.2020631489304
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.0,2002.7065716392547,0.9999996423515296,151.0102662718659,2500.3328561270055
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.083333333333333,1953.2721536793674,0.9999996249228181,146.67035435220026,2651.3431223988714
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.1666666666666665,1900.688541508557,0.9999996257645963,142.1284366733945,2798.0134767510717
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.25,1845.0998458146096,0.9999996150925816,137.39797439533555,2940.141913424466
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.333333333333333,1786.6044038113266,0.9999995847186808,132.48883588972407,3077.5398878198016
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.4166666666666665,1725.2572258966923,0.9999995830332853,127.40755397178847,3210.028723709526
volterra,30,360,500.0,3.0,5000.0,0.5,0.05,2,10,1.0,2.5,1661.0715320075383,0.9999995709238896,122.15748774912623,3337.436277681314
