model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.0,500.0,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.08333333333333333,516.6852832060255,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.16666666666666666,532.0260790379127,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.25,546.1270818957928,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.3333333333333333,559.0854091092096,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.41666666666666663,570.9910572085247,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.5,581.9273461425034,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.5833333333333333,591.9713487581106,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.6666666666666666,601.1943035700172,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.75,609.6620094433237,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.8333333333333333,617.4352013076134,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,0.9166666666666666,624.5699064267526,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.0,631.1177810788483,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.0833333333333333,637.1264277653041,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.1666666666666665,642.6396932766875,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.25,647.6979481047301,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.3333333333333333,652.3383478117873,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.4166666666666665,656.5950770580639,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.5,660.4995770485812,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.5833333333333333,664.0807572011204,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.6666666666666665,667.365191857433,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.75,670.3773028664222,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.8333333333333333,673.1395288627957,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,1.9166666666666665,675.6724820504086,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.0,677.9950932782599,0.0,0.0,0.0
volterra,30,360,500.0,0.5,5000.0,1.4,0.05,4,2,0.5,2.083333333333333,680.1247461706647,0.0,0.0,0.0
