model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.0,500.0,0.5,20.833333333333332,0.0
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.08333333333333333,592.8911653627854,0.5,24.601080207964845,20.833333333333332
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.16666666666666666,655.5090742358904,0.5,27.08621651067689,45.43441354129818
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.25,693.0332026499539,0.5,28.51767524759466,72.52063005197508
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.3333333333333333,710.4079079969138,0.5,29.111079086837442,101.03830529956974
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.41666666666666663,717.4611434817159,0.5,29.277860821813704,130.14938438640718
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.5,720.657016324665,0.5,29.28599713309207,159.42724520822088
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.5833333333333333,721.9974886098486,0.5,29.21847350437904,188.71324234131296
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.6666666666666666,722.5538695873532,0.5,29.11940567210265,217.931715845692
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.75,722.7897725678922,0.5,29.007794755129005,247.05112151779466
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.8333333333333333,722.887822046984,0.5,28.891099065835576,276.0589162729237
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,0.9166666666666666,722.9287555021365,0.4999999998051069,28.77259907148688,304.9500153387593
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.0,722.9458920342033,0.49999999966500386,28.653641848504385,333.72261441024614
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.0833333333333333,722.953033503519,0.4999999995876897,28.534781926227243,362.3762562587505
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.1666666666666665,722.9560165614384,0.49999999954693675,28.416251604323463,390.91103818497777
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.25,722.9572623914613,0.4999999995260029,28.298145645940536,419.32728978930123
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.3333333333333333,722.9577822791391,0.49999999951475677,28.180502272863794,447.6254354352418
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.4166666666666665,722.9579993818323,0.4999999995104597,28.063336223526164,475.8059377081056
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.5,722.958090020352,0.49999999950894114,27.946652426924476,503.86927393163177
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.5833333333333333,722.9581278586243,0.49999999950948076,27.830451754321647,531.8159263585562
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.6666666666666665,722.958143657148,0.49999999951146834,27.714733393026904,559.6463781128779
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.75,722.9581502526089,0.499999999513729,27.59949583462712,587.3611115059048
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.8333333333333333,722.9581530058682,0.4999999995170893,27.484737286726357,614.9606073405319
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,1.9166666666666665,722.9581541548998,0.4999999995197911,27.370455843449577,642.4453446272582
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.0,722.958154634106,0.4999999995230304,27.256649556797413,669.8158004707078
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.083333333333333,722.9581548336289,0.49999999952595175,27.1433164658814,697.0724500275053
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.1666666666666665,722.9581549163629,0.49999999952996493,27.03045460940894,724.2157664933867
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.25,722.9581549503092,0.49999999953344065,26.918062030468235,751.2462211027956
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.333333333333333,722.9581549638515,0.4999999995357286,26.806136778837118,778.1642831332639
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.4166666666666665,722.9581549689428,0.49999999953725954,26.69467691184071,804.970419912101
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.5,722.9581549705729,0.4999999995415213,26.583680494782417,831.6650968239417
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.583333333333333,722.9581549707218,0.49999999954517477,26.473145600533815,858.2487773187241
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.6666666666666665,722.9581549702475,0.49999999954735636,26.36307031007039,884.721922919258
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.75,722.958154969523,0.49999999954965013,26.253452712458007,911.0849932293283
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.833333333333333,722.9581549686465,0.4999999995532068,26.144290904674392,937.3384459417864
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,2.9166666666666665,722.9581549677604,0.4999999995558814,26.035582991439206,963.4827368464607
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,3.0,722.9581549669169,0.4999999995595981,25.9273270855618,989.5183198379
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,3.083333333333333,722.9581549659839,0.49999999956285646,25.81952130751373,1015.4456469234618
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,3.1666666666666665,722.9581549649821,0.49999999956535385,25.712163785649743,1041.2651682309756
volterra,30,360,500.0,5,5000.0,6,0.05,2,10,0.5,3.25,722.9581549640297,0.4999999995685567,25.605252656201074,1066.9773320166253
