model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.0,500.0,1.206029016256082e-07,5.025120901067009e-06,0.0
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.08333333333333333,537.4999949748791,1.1700760522525675e-07,5.219173676414732e-06,5.025120901067009e-06
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.16666666666666666,577.4765519051869,1.1319236915903877e-07,5.401957187035832e-06,1.024429457748174e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.25,620.0416063167858,1.091890766752707e-07,5.571730466165653e-06,1.564625176451757e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.3333333333333333,665.3042079753054,1.0499334317621645e-07,5.724829378110839e-06,2.1217982230683226e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.41666666666666663,713.3690579997107,1.0061823733504017e-07,5.85816939099875e-06,2.6942811608794064e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.5,764.3348833030019,9.606313042182802e-08,5.96762888719956e-06,3.280098099979282e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.5833333333333333,818.292653895655,9.135152922025691e-08,6.050291590738327e-06,3.8768609886992375e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.6666666666666666,875.3236543672759,8.647278404414263e-08,6.100850426661569e-06,4.4818901477730704e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.75,935.4974275919948,8.145819200793818e-08,6.116599924831718e-06,5.091975190439227e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.8333333333333333,998.8696162571463,7.633624961798107e-08,6.09484650705211e-06,5.7036351829223986e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.9166666666666666,1065.4797360863834,7.11273995061724e-08,6.032477564335327e-06,6.31311983362761e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.0,1135.3489233113366,6.585243858051639e-08,5.926594917456692e-06,6.916367590061143e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.0833333333333333,1208.4777077290867,6.05653340107029e-08,5.777729824884175e-06,7.509027081806813e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.1666666666666665,1284.8438711058868,5.5303403780371555e-08,5.5858224632755676e-06,8.08680006429523e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.25,1364.400458224718,5.011141465460702e-08,5.352465399909182e-06,8.645382310622786e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.3333333333333333,1447.0740138723777,4.505699854676634e-08,5.0829845677171175e-06,9.180628850613705e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.4166666666666665,1532.763122901263,8.931391369130356e-11,1.0627971755436394e-08,9.688927307385417e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.5,1621.337336616193,7.168832948724952e-11,8.986043405957956e-09,9.689990104560961e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.5833333333333333,1712.6365353394283,5.510295260870633e-11,7.265695324667412e-09,9.690888708901557e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.6666666666666665,1806.4708482401925,3.9824631406656506e-11,5.515822341886693e-09,9.691615278434024e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.75,1902.6211368285194,2.6349554290496172e-11,3.827750107384708e-09,9.692166860668212e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.8333333333333333,2000.8401117216074,1.4969504342507845e-11,2.2773418774021694e-09,9.69254963567895e-05
differential,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.9166666666666665,2100.85410181801,6.045536047133328e-12,9.6167776343563e-10,9.69277736986669e-05
