model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.0,500.0,4.2208506866475244e-08,1.758687786103135e-06,0.0
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.08333333333333333,537.1887967152701,4.131052683768395e-08,1.8416066475410465e-06,1.758687786103135e-06
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.16666666666666666,576.5047940786648,4.0115074678783705e-08,1.911217711550052e-06,3.6002944336441818e-06
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.25,618.0199530544198,3.863873106311154e-08,1.9652392300545507e-06,5.511512145194234e-06
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.3333333333333333,661.8018204554546,3.725146977813979e-08,2.0204675640680697e-06,7.476751375248784e-06
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.41666666666666663,707.9124329811785,3.557276448782628e-08,2.0552663377563706e-06,9.497218939316854e-06
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.5,756.4071459627039,3.40127446129798e-08,2.0910224382125623e-06,1.1552485277073224e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.5833333333333333,807.3333970473259,3.2629450200353095e-08,2.1321340506710897e-06,1.3643507715285786e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.6666666666666666,860.7294188892288,3.043716644419514e-08,2.111607215899892e-06,1.5775641765956875e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.75,916.6229185896211,2.8928522438246063e-08,2.1283824773073286e-06,1.7887248981856766e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.8333333333333333,975.0297452984635,2.7385718989589794e-08,2.1343476632648433e-06,2.0015631459164096e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,0.9166666666666666,1035.9525722214933,2.498287041274991e-08,2.0601355600620843e-06,2.2149979122428938e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.0,1099.3796221030584,2.3377044558239687e-08,2.0372358836934506e-06,2.4210114682491023e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.0833333333333333,1165.2834690230986,2.148415076327924e-08,1.9762607547027034e-06,2.6247350566184475e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.1666666666666665,1233.6199529641199,1.9274503394417665e-08,1.8691729681940548e-06,2.822361132088718e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.25,1304.327244193724,1.73978801215166e-08,1.776471516878477e-06,3.0092784289081232e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.3333333333333333,1377.3250964354224,1.5867240903627526e-08,1.703741353635192e-06,3.186925580595971e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.4166666666666665,1452.5143271362576,1.4108550628537264e-08,1.5909592424948452e-06,3.35729971595949e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.5,1529.7765608750935,1.2068766946256974e-08,1.4273733079984836e-06,3.516395640208975e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.5833333333333333,1608.9742681847933,1.0511580193793796e-08,1.302129607864584e-06,3.6591329710088234e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.6666666666666665,1689.9511267188518,9.438831730455847e-09,1.2229816364517064e-06,3.789345931795282e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.75,1772.5327245691292,8.567650606429419e-09,1.1595086586586051e-06,3.9116440954404524e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.8333333333333333,1856.5276161068616,6.8112429451935614e-09,9.614710482673097e-07,4.027594961306313e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,1.9166666666666665,1941.7287307517763,6.4202517154930835e-09,9.439293246840064e-07,4.1237420661330434e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.0,2027.9151228682147,5.991297847200262e-09,9.161360859233137e-07,4.218134998601444e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.083333333333333,2114.8540415458383,6.080837361650716e-07,9.656584227131761e-05,4.3097486071937756e-05
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.1666666666666665,2202.3031775232416,1.0708513693077274e-06,0.00017635041533038513,0.00013966332834325536
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.25,2290.01348283019,0.36325697097099696,61.94590773123423,0.0003160137436736405
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.333333333333333,2308.4101462248173,0.44513451544206795,76.20005931622313,61.9462237449779
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.4166666666666665,2309.8934919455924,0.44249167054036387,75.48115886083889,138.14628306120102
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.5,2311.116972627503,0.43849490717454825,74.52782110757077,213.6274419220399
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.583333333333333,2312.3557495765394,0.43644821169610815,73.91111460323305,288.1552630296107
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.6666666666666665,2313.240245033941,0.4299595857371749,72.53726861422197,362.06637763284374
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.75,2314.643579120845,0.42680831848727074,71.74972873928918,434.60364624706574
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.833333333333333,2315.913631071927,0.4240775365844636,71.03319181073489,506.35337498635494
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,2.9166666666666665,2316.979549986057,0.41952188105619315,70.01014223396717,577.3865667970898
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.0,2318.205836155399,0.4178498441133147,69.47792203885044,647.396709031057
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.083333333333333,2319.0372676733828,0.4100891363935271,67.9283419150104,716.8746310699074
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.1666666666666665,2320.667727365859,0.4106117982325043,67.7797320517047,784.8029729849178
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.25,2321.4798885015753,0.40435310679313163,66.49233902820222,852.5827050366225
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.333333333333333,2322.814126669431,0.4005393367965967,65.6290281713651,919.0750440648247
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.4166666666666665,2324.1892365803046,0.3982919625553454,65.02791181502471,984.7040722361899
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.5,2325.3069244620538,0.39539270303855867,64.31705563438757,1049.7319840512146
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.583333333333333,2326.306340345429,0.39077741596964405,63.329202702745455,1114.049039685602
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.6666666666666665,2327.5291756273323,0.3878979767410103,62.63408637210648,1177.3782423883476
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.75,2328.6388622169334,0.3845338929175451,61.8621919624655,1240.0123287604542
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.833333333333333,2329.738217346415,0.3791996438939206,60.779066154938036,1301.8745207229197
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,3.9166666666666665,2331.215795492808,0.3790802794653485,60.54566966904548,1362.6535868778576
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,4.0,2332.054941068962,0.3729129774289008,59.33434226832402,1423.1992565469031
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,4.083333333333333,2333.452682080124,0.37143250475397555,58.888325177570906,1482.5335988152272
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,4.166666666666666,2334.489582614263,0.3665014742446132,57.89064696246224,1541.4219239927982
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,4.25,2335.8513727478994,0.36649150686057047,57.68199823792045,1599.3125709552603
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,4.333333333333333,2336.57793688739,0.35994039527256105,56.43291409082048,1656.9945691931807
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,4.416666666666666,2337.963791198896,0.3567964398628376,55.740434403832225,1713.4274832840013
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,4.5,2339.334947721472,0.3559995836268462,55.41717645838443,1769.1679176878336
volterra,30,360,500.0,1.0,5000.0,0.1,0.05,2,10,1.0,4.583333333333333,2340.23973026363,0.3515703670800514,54.52121753920438,1824.585094146218
