model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.0,500.0,1.5989857140724185e-07,7.994928570362092e-06,0.0
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.1,544.9999920050715,1.5590211173276134e-07,8.454287671488158e-06,7.994928570362092e-06
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.2,593.5594828832031,1.5164080298374176e-07,8.911224366494566e-06,1.644921624185025e-05
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.30000000000000004,645.8691649763283,1.4711619898259169e-07,9.360318559918031e-06,2.5360440608344814e-05
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.4,702.1131324068351,1.4233324924688134e-07,9.795521683175773e-06,3.472075916826285e-05
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.5,762.4651786401515,1.37300983391641e-07,1.0210248218677448e-05,4.451628085143862e-05
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.6000000000000001,827.0846230626696,1.320308800540025e-07,1.0597334192235517e-05,5.472652907011607e-05
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.7000000000000001,896.1116949747311,1.2654809237453655e-07,1.0950083760476813e-05,6.532386326235159e-05
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.8,969.6625297346719,1.208801245635319e-07,1.1261694275779126e-05,7.62739470228284e-05
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,0.9,1047.8238625554175,1.1506779861124195e-07,1.152653670305705e-05,8.753564129860753e-05
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.0,1130.6475398150696,1.0915885207848367e-07,1.1740091397645457e-05,9.906217800166458e-05
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.1,1218.1450042687604,1.0321463335756063e-07,1.1900194677377456e-05,0.00011080226939931003
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.2000000000000002,1310.2819470940988,9.730859070637391e-08,1.2007656933127016e-05,0.00012270246407668748
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.3,1406.9733534357256,9.319935248637102e-08,1.2287672456451003e-05,0.0001347101210098145
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.4000000000000001,1508.079195320834,1.0530341481616024e-07,1.4806962954331928e-05,0.00014699779346626549
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.5,1613.401041785138,1.1664023418269686e-07,1.7458970445940598e-05,0.00016180475642059742
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.6,1722.6798687122368,1.2690333791950735e-07,2.0180599587100106e-05,0.00017926372686653802
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.7000000000000002,1835.5953151207498,1.357536314650901e-07,2.2888290957321755e-05,0.00019944432645363814
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.8,1951.766618496087,1.4280065829982689e-07,2.5472501238564898e-05,0.0002223326174109599
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,1.9000000000000001,2070.7553938128267,1.4761831597239313e-07,2.77978413578405e-05,0.0002478051186495248
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.0,2192.0703446058687,1.497209094675328e-07,2.969665236782261e-05,0.0002756029600073653
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.1,2315.173898332569,0.2800074665641466,58.36497570865327,0.00030529961237518786
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.2,2374.664086782663,0.5244218442895758,111.56052895018053,58.36528100826565
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.3000000000000003,2374.817332963944,0.5256666275689663,111.27478169135583,169.92580995844617
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.4000000000000004,2374.6676971102706,0.5248492255314243,110.54066359271549,281.200591649802
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.5,2374.7192832150363,0.5255330778989445,110.13504282482346,391.74125524251747
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.6,2374.606024649676,0.5251897396310516,109.50892496824959,501.87629806734094
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.7,2374.5796796873838,0.5245154862294704,108.82165014799052,611.3852230355906
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.8000000000000003,2374.7146930242525,0.5252886918294815,108.44468297949885,720.2068731835811
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,2.9000000000000004,2374.6596874046763,0.5249282502456534,107.8272739703215,828.6515561630799
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.0,2374.6928880616238,0.5248936775381059,107.28391686160347,936.4788301334014
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.1,2374.732722311752,0.525268375595511,106.82683123588943,1043.7627469950048
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.2,2374.681684542343,0.5251660338676059,106.27103615283431,1150.5895782308942
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.3000000000000003,2374.6573747416455,0.525276215748386,105.76210931823556,1256.8606143837285
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.4000000000000004,2374.6080553171837,0.5250081810733012,105.17873562192375,1362.622723701964
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.5,2374.6247269329488,0.5247375851218007,104.60094877151565,1467.801459323888
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.6,2374.7048632728847,0.5251741923929415,104.16936365581586,1572.4024080954036
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.7,2374.6775149730424,0.5249371373488224,103.60183780962245,1676.5717717512196
differential,50,500,500.0,1.0,5000.0,0.2,0.05,2,10,1.0,3.8000000000000003,2374.7077587843196,0.5252047023396231,103.13897842200643,1780.1736095608421
