model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.0,500.0,1.0,50.0,0.0
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.1,886.7004900968287,1.0,88.2278052952612,50.0
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.2,1493.0183369804463,1.0,147.81625563119505,138.2278052952612
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.30000000000000004,2326.5182769880444,1.0,229.1880932365668,286.04406092645627
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.4,3238.589449796256,1.0,317.44610820755446,515.2321541630231
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.5,3925.5847179417433,1.0,382.8661685915529,832.6782623705776
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.6000000000000001,4225.437902440557,1.0,410.05573397100153,1215.5444309621305
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.7000000000000001,4291.457951041051,1.0,414.38550411668376,1625.600164933132
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.8,4291.372048676034,1.0,412.3104943841403,2039.9856690498157
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,0.9,4278.673835839234,1.0,409.0401412647478,2452.296163433956
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.0,4263.736492840432,1.0,405.5791610307297,2861.3363046987038
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.1,4248.3590265559815,1.0,402.1008721809357,3266.9154657294334
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.2000000000000002,4232.854729700348,1.0,398.63524602461297,3669.016337910369
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.3,4217.279006414331,1.0,395.1874940895454,4067.651583934982
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.4000000000000001,4201.641235488012,1.0,391.7584321431016,4462.839078024527
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.5,4185.942301128781,1.0,388.348070401938,4854.597510167629
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.6,4170.181447771026,1.0,384.9562661835721,5242.945580569567
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.7000000000000002,4154.35757016879,1.0,381.5828461996223,5627.901846753139
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.8,4138.469462572209,1.0,378.22763011374013,6009.484692952761
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,1.9000000000000001,4122.515867209222,1.0,374.8904351555896,6387.712323066501
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.0,4106.495482863547,1.0,371.5710769890583,6762.60275822209
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.1,4090.40696522479,1.0,368.2693698149545,7134.173835211149
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.2,4074.248925426059,1.0,364.98512630918634,7502.443205026103
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.3000000000000003,4058.019928099939,1.0,361.71815752075196,7867.428331335289
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.4000000000000004,4041.7184892312252,1.0,358.4682727556769,8229.14648885604
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.5,4025.3430738605357,1.0,355.23527945222776,8587.614761611718
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.6,4008.89209364338,1.0,352.01898304818155,8942.850041063946
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.7,3992.3639042575587,1.0,348.81918683987936,9294.869024112128
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.8000000000000003,3975.756802648177,1.0,345.63569183250183,9643.688210952007
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,2.9000000000000004,3959.0690240981767,1.0,342.468296580911,9989.323902784508
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.0,3942.298739110777,1.0,339.3167970203094,10331.79219936542
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.1,3925.4440500891396,1.0,336.18098628590855,10671.10899638573
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.2,3908.5029877970433,1.0,333.06065452071306,11007.289982671638
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.3000000000000003,3891.473507582888,1.0,329.9555886704449,11340.350637192352
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.4000000000000004,4036.099018680051,1.0,340.5114738359549,11670.306225862798
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.5,4086.852883680773,1.0,343.0737346056706,12010.817699698753
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.6,4094.632317578804,1.0,342.01244015554744,12353.891434304423
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.7,4095.1017310505854,1.0,340.3456591486397,12695.903874459971
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.8000000000000003,4087.869689395353,1.0,338.05011780157025,13036.24953360861
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,3.9000000000000004,4083.0229608892873,1.0,335.96528018582086,13374.299651410181
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.0,4077.6181784804567,1.0,333.84714020317733,13710.264931596002
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.1000000000000005,4069.044219995487,1.0,331.4835954178701,14044.11207179918
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.2,4066.196893305917,1.0,329.5995142726694,14375.59566721705
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.3,4059.090550149974,1.0,327.3824738128138,14705.19518148972
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.4,4051.5739601952937,1.0,325.1464264392006,15032.577655302533
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.5,4048.2343724856946,1.0,323.25808037690166,15357.724081741733
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.6000000000000005,4040.5022565384656,1.0,321.03148138103575,15680.982162118635
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.7,4034.5798962361214,1.0,318.9621256462406,16002.013643499671
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.800000000000001,4029.9827858838057,1.0,317.0096738994808,16320.975769145913
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,4.9,4022.0358593402552,1.0,314.806572007715,16637.985443045392
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.0,4017.45130721377,1.0,312.87942240093236,16952.792015053106
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.1000000000000005,4011.8884929862847,1.0,310.887858119529,17265.67143745404
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.2,4003.783647153303,1.0,308.71237303519405,17576.559295573566
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.300000000000001,4000.215042199981,1.0,306.8988781558744,17885.27166860876
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.4,3993.927729847077,1.0,304.88825308285976,18192.17054676463
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.5,3985.7133168791115,1.0,302.74367266678985,18497.05879984749
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.6000000000000005,3982.86356935151,1.0,301.0183530152189,18799.802472514282
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.7,3986.696081768434,1.0,299.80522811290933,19100.8208255295
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.800000000000001,4042.4664674783453,1.0,302.48303807720663,19400.62605364241
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,5.9,4058.0553130643952,1.0,302.1350364260302,19703.109091719616
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.0,4060.256028749772,1.0,300.79116467306244,20005.244128145645
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.1000000000000005,4058.553396309045,1.0,299.1654574635924,20306.035292818706
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.2,4054.4221174252853,1.0,297.37035612740135,20605.2007502823
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.300000000000001,4052.117537783333,1.0,295.71902963048007,20902.5711064097
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.4,4049.369293778073,1.0,294.04456134327194,21198.29013604018
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.5,4047.7691685440295,1.0,292.4623945502089,21492.334697383452
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.6000000000000005,4044.1983258022256,1.0,290.74701591248817,21784.797091933662
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.7,4041.8402144945567,1.0,289.12822443793567,22075.54410784615
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.800000000000001,4037.9700160838784,1.0,287.4107221653762,22364.672332284088
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,6.9,4034.435916560733,1.0,285.726963086983,22652.083054449464
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.0,4032.632983849254,1.0,284.1748433925406,22937.810017536445
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.1000000000000005,4031.0641193977053,1.0,282.6475108392621,23221.984860928987
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.2,4027.395815358921,1.0,280.98187160934566,23504.63237176825
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.300000000000001,4024.497313338867,1.0,279.37925563872653,23785.614243377597
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.4,4021.415072387214,1.0,277.77294482403516,24064.993499016324
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.5,4017.2546944614814,1.0,276.10160816760794,24342.76644384036
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.6000000000000005,4015.777262973314,1.0,274.6235098139868,24618.868052007965
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.7,4014.1706968412527,1.0,273.14450044994436,24893.491561821953
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.800000000000001,4011.2097001839293,1.0,271.58171025632515,25166.636062271897
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,7.9,4007.106973351263,1.0,269.95079830816906,25438.217772528224
volterra,50,500,500.0,10.0,5000.0,0.3,0.05,2,10,1.0,8.0,4004.7553592868358,1.0,268.4467796798625,25708.16857083639
