model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.0,500.0,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.08333333333333333,612.4062890516516,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.16666666666666666,746.5502440028861,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.25,904.9833149085365,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.3333333333333333,1089.787709020715,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.41666666666666663,1302.1840084520513,0.0,0.0,0.0
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.5,1542.0770914625796,0.9511558991631136,119.21178289060306,0.0
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.5833333333333333,1685.3765070369207,1.0,136.410803618104,119.21178289060306
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.6666666666666666,1822.926005899928,1.0,146.93028190781388,255.62258650870706
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.75,1959.0320447980353,1.0,157.24406080713953,402.55286841652094
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.8333333333333333,2091.838238487676,1.0,167.2057653612608,559.7969292236605
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,0.9166666666666666,2219.6279017608917,1.0,176.6825935310483,727.0026945849213
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.0,2340.912484252986,1.0,185.5620696002087,903.6852881159696
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.0833333333333333,2454.497677096147,1.0,193.75686321616138,1089.2473577161782
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.1666666666666665,2559.5212776038206,1.0,201.20726298909796,1283.0042209323396
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.25,2655.4614932321383,1.0,207.88126787837075,1484.2114839214375
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.3333333333333333,2742.118687889607,1.0,213.77259885887182,1692.0927517998084
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.4166666666666665,2819.5767109717567,1.0,218.8971680046517,1905.8653506586802
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.5,2888.151453056956,1.0,223.28864150866133,2124.762518663332
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.5833333333333333,2948.3341966315384,1.0,226.99370692050377,2348.051160171993
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.6666666666666665,3000.736094294124,1.0,230.06754027765993,2575.044867092497
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.75,3046.038274085752,1.0,232.56981254068617,2805.112407370157
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.8333333333333333,3084.950155515645,1.0,234.56141768746602,3037.6822199108433
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,1.9166666666666665,3118.1769133329376,1.0,236.10197384155856,3272.2436375983093
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.0,3146.3958182099154,1.0,237.24805568901667,3508.3456114398678
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.083333333333333,3170.240435227106,1.0,238.05206127784788,3745.5936671288846
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.1666666666666665,3190.291303102126,1.0,238.56159240734317,3983.6457284067324
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.25,3207.0716434251053,1.0,238.81922604596846,4222.2073208140755
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.333333333333333,3221.0467538538896,1.0,238.86256581289368,4461.026546860044
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.4166666666666665,3232.6259357618237,1.0,238.72448057680197,4699.889112672938
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.5,3242.1660339486116,1.0,238.43345688538602,4938.61359324974
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.583333333333333,3249.975885763245,1.0,238.01401037873964,5177.0470501351265
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.6666666666666665,3256.321169454487,1.0,237.48711714510796,5415.061060513866
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.75,3261.429299185955,1.0,236.87063869397645,5652.548177658974
volterra,20,240,500.0,3.0,5000.0,0.01,0.05,2,10,1.0,2.833333333333333,3265.494136806578,1.0,236.17972395697336,5889.418816352951
