model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.0,500.0,0.5,20.833333333333332,0.0
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.08333333333333333,501.9115664058904,0.5,20.826025793285698,20.833333333333332
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.16666666666666666,501.90917577594047,0.5,20.73933243351304,41.65935912661903
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.25,501.9091788118317,0.5,20.653098452444958,62.39869156013207
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.3333333333333333,501.90917880797645,0.5,20.56722290702895,83.05179001257703
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.41666666666666663,501.90917880798133,0.5,20.48170443213051,103.61901291960598
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.5,501.90917880798133,0.5,20.396541542892706,124.10071735173649
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.5833333333333333,501.90917880798133,0.5,20.31173276079122,144.4972588946292
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.6666666666666666,501.90917880798133,0.5,20.22727661344923,164.8089916554204
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.75,501.90917880798133,0.5,20.14317163461206,185.03626826886963
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.8333333333333333,501.90917880798133,0.5,20.059416364121706,205.1794399034817
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,0.9166666666666666,501.90917880798133,0.5,19.976009347891516,225.2388562676034
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.0,501.90917880798133,0.5,19.89294913788092,245.21486561549492
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.0833333333333333,501.90917880798133,0.5,19.810234292070287,265.1078147533758
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.1666666666666665,501.90917880798133,0.5,19.72786337443592,284.9180490454461
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.25,501.9091788079813,0.5,19.64583495492509,304.645912419882
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.3333333333333333,501.90917880798133,0.5,19.564147609431238,324.2917473748071
volterra,30,360,500.0,1.0,5000.0,6,0.05,2,10,0.5,1.4166666666666665,501.90917880798133,0.5,19.482799919769228,343.8558949842383
